array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000054,0.000054,0.000002,0.000051,0.000057,0.000057,9.5505,AVX2
1024,0.000104,0.000104,0.000002,0.000102,0.000108,0.000108,9.8097,AVX2
2048,0.000207,0.000207,0.000004,0.000200,0.000215,0.000215,9.8872,AVX2
4096,0.000421,0.000427,0.000017,0.000408,0.000460,0.000460,9.7291,AVX2
8192,0.000838,0.000837,0.000012,0.000823,0.000862,0.000861,9.7815,AVX2
12288,0.001286,0.001289,0.000020,0.001252,0.001323,0.001322,9.5529,AVX2
16384,0.001741,0.001741,0.000025,0.001684,0.001782,0.001781,9.4122,AVX2
20480,0.002123,0.002115,0.000030,0.002067,0.002165,0.002163,9.6472,AVX2
24576,0.002527,0.002535,0.000027,0.002507,0.002597,0.002594,9.7255,AVX2
28672,0.003010,0.003010,0.000029,0.002956,0.003061,0.003059,9.5240,AVX2
32768,0.003380,0.003384,0.000031,0.003351,0.003465,0.003459,9.6936,AVX2
40960,0.004317,0.004318,0.000062,0.004198,0.004436,0.004429,9.4887,AVX2
49152,0.005196,0.005191,0.000034,0.005142,0.005256,0.005253,9.4589,AVX2
57344,0.006015,0.006015,0.000035,0.005947,0.006071,0.006070,9.5341,AVX2
65536,0.006922,0.006908,0.000049,0.006793,0.006977,0.006974,9.4680,AVX2
