array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000032,0.000033,0.000000,0.000032,0.000034,0.000034,15.7685,AVX-512F
1024,0.000067,0.000068,0.000001,0.000067,0.000069,0.000069,15.2002,AVX-512F
2048,0.000162,0.000163,0.000001,0.000162,0.000165,0.000165,12.6266,AVX-512F
4096,0.000365,0.000365,0.000001,0.000364,0.000367,0.000367,11.2231,AVX-512F
8192,0.000772,0.000772,0.000001,0.000770,0.000774,0.000774,10.6085,AVX-512F
12288,0.001180,0.001179,0.000001,0.001177,0.001182,0.001182,10.4175,AVX-512F
16384,0.001585,0.001585,0.000002,0.001583,0.001588,0.001588,10.3368,AVX-512F
20480,0.001991,0.001991,0.000001,0.001990,0.001994,0.001994,10.2865,AVX-512F
24576,0.002398,0.002398,0.000002,0.002396,0.002401,0.002401,10.2499,AVX-512F
28672,0.002804,0.002804,0.000001,0.002801,0.002806,0.002806,10.2249,AVX-512F
32768,0.003214,0.003216,0.000007,0.003209,0.003236,0.003234,10.1959,AVX-512F
40960,0.004028,0.004027,0.000003,0.004022,0.004030,0.004030,10.1680,AVX-512F
49152,0.004846,0.004847,0.000006,0.004841,0.004861,0.004860,10.1433,AVX-512F
57344,0.005655,0.005655,0.000003,0.005651,0.005662,0.005662,10.1409,AVX-512F
65536,0.006466,0.006467,0.000006,0.006461,0.006484,0.006483,10.1358,AVX-512F
