array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000100,0.000101,0.000001,0.000099,0.000104,0.000104,5.0986,SSE2
1024,0.000201,0.000201,0.000002,0.000199,0.000205,0.000205,5.1009,SSE2
2048,0.000408,0.000407,0.000003,0.000402,0.000411,0.000411,5.0234,SSE2
4096,0.000806,0.000808,0.000007,0.000798,0.000818,0.000818,5.0799,SSE2
8192,0.001646,0.001646,0.000007,0.001630,0.001656,0.001656,4.9771,SSE2
12288,0.002469,0.002469,0.000006,0.002460,0.002479,0.002479,4.9765,SSE2
16384,0.003293,0.003294,0.000007,0.003279,0.003306,0.003306,4.9761,SSE2
20480,0.004119,0.004117,0.000013,0.004086,0.004139,0.004138,4.9719,SSE2
24576,0.004925,0.004927,0.000012,0.004908,0.004949,0.004948,4.9905,SSE2
28672,0.005750,0.005748,0.000017,0.005716,0.005775,0.005774,4.9862,SSE2
32768,0.006589,0.006589,0.000008,0.006577,0.006605,0.006604,4.9734,SSE2
40960,0.008202,0.008204,0.000012,0.008180,0.008223,0.008222,4.9936,SSE2
49152,0.009928,0.009924,0.000023,0.009880,0.009963,0.009961,4.9507,SSE2
57344,0.011640,0.011644,0.000015,0.011624,0.011673,0.011672,4.9263,SSE2
65536,0.013300,0.013304,0.000021,0.013266,0.013337,0.013336,4.9275,SSE2
