array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000096,0.000098,0.000005,0.000092,0.000105,0.000105,5.3295,SSE4.2
1024,0.000188,0.000190,0.000008,0.000185,0.000209,0.000208,5.4613,SSE4.2
2048,0.000373,0.000375,0.000008,0.000370,0.000399,0.000397,5.4885,SSE4.2
4096,0.000782,0.000786,0.000025,0.000743,0.000824,0.000823,5.2346,SSE4.2
8192,0.001576,0.001584,0.000039,0.001524,0.001653,0.001651,5.1977,SSE4.2
12288,0.002340,0.002346,0.000032,0.002317,0.002430,0.002424,5.2517,SSE4.2
16384,0.003177,0.003177,0.000039,0.003099,0.003251,0.003248,5.1568,SSE4.2
20480,0.003966,0.003978,0.000076,0.003868,0.004135,0.004128,5.1640,SSE4.2
24576,0.004776,0.004788,0.000039,0.004730,0.004858,0.004857,5.1461,SSE4.2
28672,0.005650,0.005638,0.000055,0.005521,0.005712,0.005710,5.0751,SSE4.2
32768,0.006363,0.006361,0.000032,0.006306,0.006409,0.006409,5.1499,SSE4.2
40960,0.008064,0.008070,0.000038,0.008002,0.008128,0.008126,5.0794,SSE4.2
49152,0.010066,0.010062,0.000029,0.009993,0.010117,0.010113,4.8829,SSE4.2
57344,0.011632,0.011636,0.000024,0.011595,0.011673,0.011673,4.9300,SSE4.2
65536,0.013388,0.013440,0.000172,0.013254,0.013920,0.013881,4.8952,SSE4.2
