array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.016109,0.016112,0.000016,0.016088,0.016142,0.016142,0.0318,AVX2
1024,0.016198,0.016199,0.000010,0.016178,0.016213,0.016212,0.0632,AVX2
2048,0.016357,0.016356,0.000013,0.016338,0.016373,0.016373,0.1252,AVX2
4096,0.016783,0.016792,0.000055,0.016732,0.016916,0.016911,0.2440,AVX2
8192,0.017512,0.017509,0.000023,0.017474,0.017549,0.017547,0.4678,AVX2
12288,0.018211,0.018212,0.000015,0.018192,0.018239,0.018239,0.6748,AVX2
16384,0.018946,0.018949,0.000011,0.018933,0.018968,0.018968,0.8648,AVX2
20480,0.019675,0.019672,0.000010,0.019650,0.019683,0.019683,1.0409,AVX2
24576,0.020416,0.020414,0.000007,0.020401,0.020421,0.020421,1.2038,AVX2
28672,0.021161,0.021158,0.000009,0.021137,0.021168,0.021168,1.3549,AVX2
32768,0.021896,0.021892,0.000011,0.021870,0.021909,0.021908,1.4965,AVX2
40960,0.023406,0.023407,0.000005,0.023398,0.023415,0.023415,1.7500,AVX2
49152,0.024874,0.024873,0.000009,0.024859,0.024891,0.024890,1.9760,AVX2
57344,0.026342,0.026338,0.000019,0.026297,0.026369,0.026368,2.1769,AVX2
65536,0.027842,0.027845,0.000012,0.027831,0.027864,0.027864,2.3538,AVX2
