array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.011978,0.011991,0.000031,0.011960,0.012050,0.012049,0.0427,AVX-512F
1024,0.012072,0.012072,0.000005,0.012062,0.012077,0.012077,0.0848,AVX-512F
2048,0.012242,0.012242,0.000005,0.012236,0.012254,0.012253,0.1673,AVX-512F
4096,0.012617,0.012617,0.000005,0.012609,0.012626,0.012626,0.3246,AVX-512F
8192,0.013359,0.013360,0.000009,0.013347,0.013379,0.013378,0.6132,AVX-512F
12288,0.014077,0.014077,0.000007,0.014062,0.014088,0.014088,0.8729,AVX-512F
16384,0.014821,0.014823,0.000007,0.014813,0.014833,0.014833,1.1054,AVX-512F
20480,0.015577,0.015576,0.000008,0.015564,0.015587,0.015587,1.3147,AVX-512F
24576,0.016295,0.016295,0.000009,0.016275,0.016307,0.016307,1.5081,AVX-512F
28672,0.017045,0.017045,0.000008,0.017034,0.017062,0.017061,1.6822,AVX-512F
32768,0.017796,0.017794,0.000014,0.017773,0.017815,0.017815,1.8413,AVX-512F
40960,0.019373,0.019378,0.000028,0.019333,0.019433,0.019432,2.1143,AVX-512F
49152,0.020874,0.020872,0.000017,0.020843,0.020896,0.020896,2.3547,AVX-512F
57344,0.022345,0.022355,0.000026,0.022325,0.022408,0.022406,2.5663,AVX-512F
65536,0.023840,0.023841,0.000009,0.023827,0.023856,0.023856,2.7490,AVX-512F
