array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.014953,0.014988,0.000130,0.014870,0.015315,0.015296,0.0342,Scalar
1024,0.015084,0.015083,0.000100,0.014979,0.015281,0.015272,0.0679,Scalar
2048,0.015179,0.015187,0.000023,0.015169,0.015254,0.015249,0.1349,Scalar
4096,0.015579,0.015738,0.000239,0.015552,0.016241,0.016223,0.2629,Scalar
8192,0.016327,0.016825,0.000919,0.016295,0.019311,0.019160,0.5017,Scalar
12288,0.017229,0.017207,0.000114,0.017046,0.017415,0.017406,0.7132,Scalar
16384,0.017820,0.017849,0.000078,0.017772,0.017976,0.017975,0.9194,Scalar
20480,0.018587,0.018623,0.000079,0.018573,0.018848,0.018830,1.1018,Scalar
24576,0.019347,0.019388,0.000073,0.019329,0.019545,0.019541,1.2703,Scalar
28672,0.020086,0.020111,0.000050,0.020069,0.020234,0.020227,1.4275,Scalar
32768,0.020830,0.020861,0.000064,0.020801,0.020982,0.020981,1.5731,Scalar
40960,0.022290,0.022318,0.000055,0.022274,0.022446,0.022439,1.8376,Scalar
49152,0.023788,0.023801,0.000035,0.023759,0.023854,0.023854,2.0663,Scalar
57344,0.025277,0.025280,0.000023,0.025260,0.025344,0.025339,2.2686,Scalar
65536,0.026740,0.026747,0.000027,0.026715,0.026797,0.026796,2.4508,Scalar
