array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.027112,0.027123,0.000045,0.027080,0.027233,0.027226,0.0189,SSE2
1024,0.027231,0.027230,0.000030,0.027153,0.027275,0.027274,0.0376,SSE2
2048,0.027407,0.027399,0.000037,0.027338,0.027452,0.027450,0.0747,SSE2
4096,0.027754,0.027833,0.000236,0.027727,0.028539,0.028472,0.1476,SSE2
8192,0.028434,0.028430,0.000042,0.028331,0.028490,0.028490,0.2881,SSE2
12288,0.029169,0.029161,0.000036,0.029099,0.029211,0.029209,0.4213,SSE2
16384,0.029881,0.029883,0.000025,0.029830,0.029921,0.029920,0.5483,SSE2
20480,0.030628,0.030625,0.000017,0.030595,0.030650,0.030650,0.6687,SSE2
24576,0.031381,0.031385,0.000017,0.031355,0.031419,0.031417,0.7832,SSE2
28672,0.032106,0.032107,0.000012,0.032090,0.032132,0.032131,0.8930,SSE2
32768,0.032838,0.032837,0.000018,0.032803,0.032871,0.032869,0.9979,SSE2
40960,0.034302,0.034303,0.000014,0.034282,0.034326,0.034326,1.1941,SSE2
49152,0.035774,0.035772,0.000011,0.035756,0.035799,0.035797,1.3740,SSE2
57344,0.037264,0.037261,0.000017,0.037215,0.037283,0.037282,1.5389,SSE2
65536,0.038964,0.038978,0.000045,0.038921,0.039065,0.039061,1.6820,SSE2
