array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000248,0.000247,0.000003,0.000242,0.000250,0.000250,2.0675,AVX
1024,0.000265,0.000266,0.000002,0.000262,0.000272,0.000272,3.8646,AVX
2048,0.000277,0.000278,0.000001,0.000276,0.000281,0.000280,7.3836,AVX
4096,0.000277,0.000278,0.000002,0.000276,0.000282,0.000282,14.7748,AVX
8192,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,29.5563,AVX
12288,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,44.3522,AVX
16384,0.000278,0.000278,0.000002,0.000275,0.000284,0.000284,58.9482,AVX
20480,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,73.8862,AVX
24576,0.000277,0.000278,0.000001,0.000276,0.000279,0.000279,88.6066,AVX
28672,0.000277,0.000278,0.000003,0.000276,0.000286,0.000285,103.4184,AVX
32768,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,118.3047,AVX
40960,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,147.7341,AVX
49152,0.000277,0.000278,0.000002,0.000276,0.000281,0.000281,177.6063,AVX
57344,0.000278,0.000277,0.000001,0.000276,0.000278,0.000278,206.6235,AVX
65536,0.000277,0.000277,0.000001,0.000276,0.000278,0.000278,236.5956,AVX
