array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000248,0.000248,0.000005,0.000242,0.000260,0.000259,2.0666,AVX2
1024,0.000265,0.000265,0.000001,0.000264,0.000267,0.000267,3.8611,AVX2
2048,0.000277,0.000277,0.000001,0.000276,0.000281,0.000280,7.3926,AVX2
4096,0.000277,0.000277,0.000001,0.000276,0.000280,0.000280,14.8000,AVX2
8192,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,29.5761,AVX2
12288,0.000277,0.000277,0.000001,0.000276,0.000280,0.000280,44.3482,AVX2
16384,0.000277,0.000278,0.000002,0.000276,0.000283,0.000283,59.1301,AVX2
20480,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,73.9526,AVX2
24576,0.000277,0.000277,0.000001,0.000276,0.000280,0.000279,88.7192,AVX2
28672,0.000278,0.000278,0.000002,0.000276,0.000282,0.000281,103.2552,AVX2
32768,0.000277,0.000277,0.000002,0.000276,0.000283,0.000282,118.4556,AVX2
40960,0.000277,0.000278,0.000001,0.000277,0.000279,0.000279,147.6047,AVX2
49152,0.000277,0.000278,0.000002,0.000276,0.000283,0.000282,177.4460,AVX2
57344,0.000277,0.000277,0.000001,0.000276,0.000278,0.000278,207.1340,AVX2
65536,0.000277,0.000277,0.000001,0.000276,0.000280,0.000280,236.7734,AVX2
