array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000248,0.000247,0.000003,0.000242,0.000254,0.000253,2.0678,AVX-512F
1024,0.000265,0.000265,0.000001,0.000264,0.000267,0.000267,3.8700,AVX-512F
2048,0.000277,0.000278,0.000002,0.000277,0.000284,0.000284,7.3868,AVX-512F
4096,0.000277,0.000278,0.000001,0.000276,0.000280,0.000280,14.7744,AVX-512F
8192,0.000277,0.000278,0.000004,0.000276,0.000289,0.000288,29.6198,AVX-512F
12288,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,44.3327,AVX-512F
16384,0.000277,0.000281,0.000010,0.000276,0.000310,0.000308,59.1730,AVX-512F
20480,0.000278,0.000284,0.000018,0.000276,0.000337,0.000332,73.7330,AVX-512F
24576,0.000471,0.000460,0.000031,0.000403,0.000500,0.000499,52.2069,AVX-512F
28672,0.000332,0.000361,0.000083,0.000279,0.000498,0.000496,86.4084,AVX-512F
32768,0.000278,0.000278,0.000001,0.000277,0.000282,0.000281,118.0421,AVX-512F
40960,0.000277,0.000278,0.000001,0.000276,0.000279,0.000279,147.7949,AVX-512F
49152,0.000277,0.000278,0.000001,0.000276,0.000280,0.000280,177.2374,AVX-512F
57344,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,206.9299,AVX-512F
65536,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,236.2025,AVX-512F
