array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000252,0.000252,0.000002,0.000246,0.000255,0.000255,2.0284,SSE2
1024,0.000267,0.000268,0.000003,0.000265,0.000275,0.000275,3.8378,SSE2
2048,0.000278,0.000278,0.000001,0.000277,0.000281,0.000280,7.3595,SSE2
4096,0.000278,0.000279,0.000002,0.000277,0.000285,0.000285,14.7474,SSE2
8192,0.000278,0.000278,0.000001,0.000278,0.000280,0.000280,29.4615,SSE2
12288,0.000278,0.000279,0.000003,0.000277,0.000287,0.000287,44.1606,SSE2
16384,0.000277,0.000278,0.000002,0.000276,0.000282,0.000282,59.1011,SSE2
20480,0.000278,0.000278,0.000001,0.000277,0.000279,0.000279,73.7612,SSE2
24576,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,88.7493,SSE2
28672,0.000277,0.000279,0.000002,0.000277,0.000284,0.000284,103.3568,SSE2
32768,0.000278,0.000278,0.000002,0.000277,0.000284,0.000283,118.0136,SSE2
40960,0.000278,0.000278,0.000002,0.000276,0.000282,0.000282,147.5888,SSE2
49152,0.000277,0.000278,0.000002,0.000277,0.000282,0.000281,177.3046,SSE2
57344,0.000277,0.000277,0.000001,0.000277,0.000278,0.000278,206.8971,SSE2
65536,0.000277,0.000277,0.000001,0.000276,0.000281,0.000280,236.6742,SSE2
