array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000247,0.000247,0.000002,0.000242,0.000249,0.000249,2.0725,SSE4.2
1024,0.000265,0.000267,0.000005,0.000264,0.000283,0.000281,3.8698,SSE4.2
2048,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,7.3905,SSE4.2
4096,0.000278,0.000278,0.000002,0.000276,0.000281,0.000281,14.7570,SSE4.2
8192,0.000277,0.000278,0.000002,0.000276,0.000283,0.000282,29.5608,SSE4.2
12288,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,44.4224,SSE4.2
16384,0.000277,0.000278,0.000002,0.000276,0.000282,0.000282,59.0813,SSE4.2
20480,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,74.0101,SSE4.2
24576,0.000277,0.000277,0.000001,0.000276,0.000279,0.000279,88.7986,SSE4.2
28672,0.000277,0.000278,0.000002,0.000276,0.000283,0.000283,103.4418,SSE4.2
32768,0.000277,0.000278,0.000001,0.000276,0.000279,0.000279,118.1800,SSE4.2
40960,0.000278,0.000278,0.000002,0.000276,0.000282,0.000282,147.3197,SSE4.2
49152,0.000277,0.000278,0.000001,0.000276,0.000281,0.000280,177.5575,SSE4.2
57344,0.000278,0.000278,0.000001,0.000276,0.000279,0.000279,206.4130,SSE4.2
65536,0.000277,0.000277,0.000001,0.000276,0.000278,0.000278,236.9771,SSE4.2
