array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000002,0.000110,0.000116,0.000116,4.5642,AVX
1024,0.000212,0.000213,0.000002,0.000211,0.000218,0.000217,4.8271,AVX
2048,0.000408,0.000409,0.000001,0.000408,0.000410,0.000410,5.0155,AVX
4096,0.000803,0.000803,0.000001,0.000801,0.000805,0.000805,5.0988,AVX
8192,0.001592,0.001592,0.000002,0.001589,0.001594,0.001594,5.1468,AVX
12288,0.002384,0.002384,0.000002,0.002379,0.002386,0.002386,5.1538,AVX
16384,0.003173,0.003173,0.000002,0.003170,0.003177,0.003177,5.1639,AVX
20480,0.006037,0.006039,0.000004,0.006032,0.006047,0.006047,3.3921,AVX
24576,0.007550,0.007551,0.000003,0.007546,0.007557,0.007556,3.2550,AVX
28672,0.009069,0.009082,0.000036,0.009066,0.009188,0.009178,3.1614,AVX
32768,0.011063,0.010885,0.000235,0.010580,0.011130,0.011125,2.9619,AVX
40960,0.016993,0.017018,0.000071,0.016971,0.017226,0.017207,2.4104,AVX
49152,0.022897,0.022897,0.000014,0.022875,0.022922,0.022921,2.1466,AVX
57344,0.033874,0.033680,0.000435,0.033137,0.034123,0.034120,1.6928,AVX
65536,0.040477,0.040494,0.000037,0.040450,0.040553,0.040552,1.6191,AVX
