array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000001,0.000111,0.000114,0.000114,4.5908,AVX2
1024,0.000225,0.000226,0.000002,0.000224,0.000230,0.000229,4.5586,AVX2
2048,0.000435,0.000436,0.000001,0.000434,0.000438,0.000438,4.7036,AVX2
4096,0.000858,0.000858,0.000001,0.000856,0.000859,0.000859,4.7728,AVX2
8192,0.001702,0.001702,0.000001,0.001699,0.001704,0.001704,4.8141,AVX2
12288,0.002547,0.002546,0.000001,0.002544,0.002548,0.002548,4.8249,AVX2
16384,0.003395,0.003395,0.000001,0.003393,0.003397,0.003397,4.8262,AVX2
20480,0.004255,0.004256,0.000004,0.004251,0.004263,0.004263,4.8127,AVX2
24576,0.005123,0.005122,0.000002,0.005118,0.005125,0.005125,4.7975,AVX2
28672,0.005972,0.005972,0.000004,0.005964,0.005978,0.005978,4.8010,AVX2
32768,0.006817,0.006818,0.000003,0.006815,0.006823,0.006823,4.8067,AVX2
40960,0.008524,0.008524,0.000004,0.008519,0.008530,0.008530,4.8050,AVX2
49152,0.010216,0.010216,0.000003,0.010209,0.010223,0.010222,4.8113,AVX2
57344,0.011912,0.011913,0.000005,0.011907,0.011923,0.011922,4.8142,AVX2
65536,0.013595,0.013617,0.000039,0.013585,0.013714,0.013709,4.8206,AVX2
