array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000111,0.000001,0.000111,0.000113,0.000113,4.5960,AVX-512F
1024,0.000228,0.000228,0.000002,0.000227,0.000233,0.000233,4.5003,AVX-512F
2048,0.000437,0.000437,0.000001,0.000436,0.000439,0.000439,4.6895,AVX-512F
4096,0.000860,0.000860,0.000001,0.000858,0.000862,0.000862,4.7630,AVX-512F
8192,0.001707,0.001707,0.000001,0.001704,0.001709,0.001709,4.8002,AVX-512F
12288,0.002548,0.002548,0.000001,0.002546,0.002550,0.002550,4.8233,AVX-512F
16384,0.003394,0.003395,0.000002,0.003392,0.003398,0.003398,4.8272,AVX-512F
20480,0.004250,0.004250,0.000001,0.004247,0.004251,0.004251,4.8193,AVX-512F
24576,0.005096,0.005096,0.000002,0.005094,0.005100,0.005100,4.8226,AVX-512F
28672,0.005961,0.005962,0.000001,0.005960,0.005964,0.005964,4.8095,AVX-512F
32768,0.006807,0.006808,0.000002,0.006805,0.006813,0.006813,4.8136,AVX-512F
40960,0.008514,0.008515,0.000004,0.008511,0.008525,0.008524,4.8108,AVX-512F
49152,0.010215,0.010214,0.000004,0.010207,0.010220,0.010220,4.8116,AVX-512F
57344,0.011915,0.011916,0.000004,0.011907,0.011921,0.011921,4.8126,AVX-512F
65536,0.013606,0.013605,0.000007,0.013589,0.013612,0.013612,4.8169,AVX-512F
