array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000114,0.000113,0.000002,0.000110,0.000116,0.000116,4.5017,Scalar
1024,0.000213,0.000214,0.000002,0.000213,0.000218,0.000218,4.8009,Scalar
2048,0.000411,0.000411,0.000002,0.000409,0.000417,0.000417,4.9826,Scalar
4096,0.000804,0.000804,0.000001,0.000801,0.000805,0.000805,5.0943,Scalar
8192,0.001599,0.001763,0.000330,0.001590,0.002444,0.002441,5.1220,Scalar
12288,0.002556,0.002867,0.000594,0.002387,0.003967,0.003939,4.8070,Scalar
16384,0.003789,0.003859,0.000464,0.003178,0.004760,0.004713,4.3243,Scalar
20480,0.007837,0.007876,0.000238,0.007541,0.008246,0.008245,2.6133,Scalar
24576,0.009083,0.009233,0.000430,0.008443,0.010030,0.010008,2.7056,Scalar
28672,0.010828,0.010980,0.000689,0.009909,0.012239,0.012210,2.6479,Scalar
32768,0.011207,0.011374,0.001703,0.009614,0.013955,0.013942,2.9239,Scalar
40960,0.017050,0.017330,0.000837,0.017027,0.019840,0.019592,2.4023,Scalar
49152,0.021053,0.021704,0.001268,0.021026,0.025348,0.025047,2.3346,Scalar
57344,0.028506,0.028653,0.000414,0.028417,0.029872,0.029767,2.0117,Scalar
65536,0.038488,0.038890,0.002078,0.036063,0.042193,0.042130,1.7028,Scalar
