array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000114,0.000114,0.000002,0.000111,0.000118,0.000118,4.4937,SSE2
1024,0.000214,0.000214,0.000002,0.000212,0.000220,0.000220,4.7882,SSE2
2048,0.000411,0.000411,0.000002,0.000409,0.000415,0.000415,4.9857,SSE2
4096,0.000804,0.000805,0.000002,0.000802,0.000808,0.000808,5.0915,SSE2
8192,0.001595,0.001595,0.000003,0.001591,0.001599,0.001599,5.1367,SSE2
12288,0.002386,0.002386,0.000004,0.002380,0.002394,0.002393,5.1493,SSE2
16384,0.003171,0.003171,0.000004,0.003163,0.003176,0.003176,5.1676,SSE2
20480,0.006060,0.006046,0.000041,0.005924,0.006068,0.006068,3.3795,SSE2
24576,0.007565,0.007518,0.000103,0.007286,0.007580,0.007580,3.2486,SSE2
28672,0.009006,0.008904,0.000211,0.008486,0.009088,0.009088,3.1837,SSE2
32768,0.010595,0.010475,0.000196,0.010154,0.010681,0.010679,3.0928,SSE2
40960,0.015327,0.015439,0.000299,0.015098,0.015827,0.015827,2.6724,SSE2
49152,0.019793,0.020466,0.001121,0.019607,0.023346,0.023151,2.4833,SSE2
57344,0.028587,0.029162,0.001772,0.027208,0.032573,0.032495,2.0060,SSE2
65536,0.038332,0.038501,0.002052,0.035171,0.042941,0.042717,1.7097,SSE2
