array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000113,0.000113,0.000002,0.000110,0.000116,0.000116,4.5198,SSE4.2
1024,0.000212,0.000213,0.000001,0.000212,0.000214,0.000214,4.8194,SSE4.2
2048,0.000411,0.000411,0.000003,0.000407,0.000418,0.000417,4.9819,SSE4.2
4096,0.000804,0.000804,0.000003,0.000801,0.000808,0.000808,5.0951,SSE4.2
8192,0.001590,0.001590,0.000002,0.001587,0.001593,0.001593,5.1513,SSE4.2
12288,0.002379,0.002380,0.000003,0.002375,0.002385,0.002385,5.1650,SSE4.2
16384,0.003173,0.003172,0.000002,0.003169,0.003175,0.003175,5.1635,SSE4.2
20480,0.005802,0.005830,0.000073,0.005791,0.006044,0.006027,3.5296,SSE4.2
24576,0.007556,0.007383,0.000224,0.007068,0.007568,0.007568,3.2527,SSE4.2
28672,0.009079,0.009080,0.000004,0.009074,0.009084,0.009084,3.1580,SSE4.2
32768,0.010590,0.010589,0.000004,0.010583,0.010595,0.010595,3.0943,SSE4.2
40960,0.015252,0.016396,0.001840,0.015123,0.019512,0.019508,2.6855,SSE4.2
49152,0.019648,0.019661,0.000043,0.019616,0.019749,0.019745,2.5016,SSE4.2
57344,0.025855,0.025879,0.000192,0.025645,0.026363,0.026329,2.2179,SSE4.2
65536,0.031882,0.033199,0.002216,0.031594,0.037189,0.037187,2.0556,SSE4.2
