array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000072,0.000072,0.000001,0.000071,0.000075,0.000074,7.1014,AVX
1024,0.000141,0.000141,0.000001,0.000141,0.000144,0.000143,7.2493,AVX
2048,0.000280,0.000280,0.000003,0.000278,0.000288,0.000287,7.3214,AVX
4096,0.000555,0.000555,0.000001,0.000553,0.000557,0.000557,7.3738,AVX
8192,0.001114,0.001114,0.000001,0.001111,0.001115,0.001115,7.3544,AVX
12288,0.001666,0.001667,0.000002,0.001664,0.001669,0.001669,7.3749,AVX
16384,0.002223,0.002223,0.000002,0.002218,0.002225,0.002225,7.3701,AVX
20480,0.002776,0.002776,0.000002,0.002771,0.002779,0.002779,7.3763,AVX
24576,0.003329,0.003329,0.000002,0.003325,0.003331,0.003331,7.3817,AVX
28672,0.003892,0.003897,0.000012,0.003885,0.003919,0.003919,7.3672,AVX
32768,0.004448,0.004451,0.000011,0.004443,0.004482,0.004480,7.3665,AVX
40960,0.005550,0.005552,0.000004,0.005547,0.005559,0.005559,7.3799,AVX
49152,0.006655,0.006654,0.000003,0.006649,0.006658,0.006658,7.3862,AVX
57344,0.007768,0.007768,0.000002,0.007763,0.007771,0.007771,7.3818,AVX
65536,0.008878,0.008877,0.000006,0.008867,0.008886,0.008886,7.3820,AVX
