array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000072,0.000072,0.000001,0.000071,0.000074,0.000074,7.1262,AVX2
1024,0.000142,0.000142,0.000000,0.000141,0.000143,0.000143,7.2157,AVX2
2048,0.000279,0.000281,0.000003,0.000279,0.000288,0.000288,7.3288,AVX2
4096,0.000556,0.000556,0.000001,0.000554,0.000557,0.000557,7.3721,AVX2
8192,0.001113,0.001112,0.000001,0.001109,0.001114,0.001114,7.3629,AVX2
12288,0.001667,0.001667,0.000002,0.001664,0.001671,0.001671,7.3712,AVX2
16384,0.002223,0.002223,0.000003,0.002220,0.002229,0.002229,7.3707,AVX2
20480,0.002776,0.002776,0.000002,0.002773,0.002780,0.002780,7.3764,AVX2
24576,0.003332,0.003331,0.000003,0.003326,0.003335,0.003335,7.3765,AVX2
28672,0.003886,0.003885,0.000003,0.003881,0.003889,0.003889,7.3786,AVX2
32768,0.004441,0.004440,0.000003,0.004434,0.004444,0.004444,7.3792,AVX2
40960,0.005548,0.005547,0.000003,0.005541,0.005549,0.005549,7.3831,AVX2
49152,0.006663,0.006663,0.000005,0.006652,0.006672,0.006671,7.3769,AVX2
57344,0.007768,0.007769,0.000005,0.007761,0.007780,0.007779,7.3817,AVX2
65536,0.008875,0.008875,0.000003,0.008870,0.008880,0.008880,7.3843,AVX2
