array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000076,0.000076,0.000001,0.000075,0.000078,0.000078,6.7247,AVX-512F
1024,0.000149,0.000150,0.000001,0.000149,0.000151,0.000151,6.8629,AVX-512F
2048,0.000296,0.000297,0.000001,0.000296,0.000299,0.000299,6.9168,AVX-512F
4096,0.000586,0.000586,0.000001,0.000585,0.000588,0.000588,6.9868,AVX-512F
8192,0.001175,0.001175,0.000001,0.001174,0.001177,0.001177,6.9745,AVX-512F
12288,0.001753,0.001754,0.000002,0.001752,0.001757,0.001757,7.0081,AVX-512F
16384,0.002352,0.002351,0.000004,0.002341,0.002354,0.002354,6.9667,AVX-512F
20480,0.002932,0.002932,0.000003,0.002929,0.002937,0.002937,6.9850,AVX-512F
24576,0.003519,0.003519,0.000002,0.003517,0.003523,0.003523,6.9835,AVX-512F
28672,0.004098,0.004097,0.000003,0.004091,0.004102,0.004101,6.9967,AVX-512F
32768,0.004693,0.004693,0.000003,0.004688,0.004700,0.004699,6.9821,AVX-512F
40960,0.005850,0.005850,0.000006,0.005845,0.005868,0.005867,7.0022,AVX-512F
49152,0.007031,0.007029,0.000007,0.007017,0.007040,0.007040,6.9910,AVX-512F
57344,0.008211,0.008210,0.000009,0.008193,0.008228,0.008227,6.9839,AVX-512F
65536,0.009373,0.009374,0.000006,0.009365,0.009384,0.009384,6.9917,AVX-512F
