array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000210,0.000209,0.000001,0.000208,0.000212,0.000212,2.4436,Scalar
1024,0.000415,0.000415,0.000001,0.000414,0.000416,0.000416,2.4703,Scalar
2048,0.000828,0.000828,0.000001,0.000826,0.000830,0.000830,2.4745,Scalar
4096,0.001651,0.001651,0.000001,0.001649,0.001653,0.001653,2.4808,Scalar
8192,0.003304,0.003304,0.000001,0.003302,0.003305,0.003305,2.4795,Scalar
12288,0.004952,0.004952,0.000002,0.004949,0.004954,0.004954,2.4816,Scalar
16384,0.006605,0.006605,0.000003,0.006600,0.006612,0.006612,2.4806,Scalar
20480,0.008255,0.008256,0.000002,0.008252,0.008261,0.008261,2.4808,Scalar
24576,0.009899,0.009899,0.000004,0.009895,0.009905,0.009905,2.4828,Scalar
28672,0.011556,0.011556,0.000006,0.011549,0.011565,0.011565,2.4812,Scalar
32768,0.013193,0.013193,0.000004,0.013187,0.013201,0.013201,2.4838,Scalar
40960,0.016499,0.016500,0.000008,0.016487,0.016513,0.016512,2.4825,Scalar
49152,0.019797,0.019797,0.000007,0.019787,0.019808,0.019808,2.4828,Scalar
57344,0.023089,0.023090,0.000005,0.023083,0.023100,0.023100,2.4836,Scalar
65536,0.026380,0.026381,0.000006,0.026371,0.026395,0.026394,2.4843,Scalar
