array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000033,0.000034,0.000001,0.000033,0.000036,0.000036,15.4792,AVX
1024,0.000069,0.000070,0.000001,0.000069,0.000073,0.000073,14.8360,AVX
2048,0.000160,0.000160,0.000001,0.000159,0.000162,0.000162,12.8036,AVX
4096,0.000343,0.000343,0.000002,0.000341,0.000347,0.000347,11.9481,AVX
8192,0.000707,0.000707,0.000002,0.000704,0.000711,0.000711,11.5888,AVX
12288,0.001071,0.001071,0.000001,0.001069,0.001072,0.001072,11.4746,AVX
16384,0.001434,0.001435,0.000002,0.001433,0.001440,0.001440,11.4224,AVX
20480,0.001797,0.001798,0.000001,0.001796,0.001801,0.001801,11.3951,AVX
24576,0.002162,0.002161,0.000002,0.002157,0.002164,0.002164,11.3673,AVX
28672,0.002527,0.002527,0.000003,0.002522,0.002533,0.002532,11.3459,AVX
32768,0.002892,0.002896,0.000009,0.002887,0.002915,0.002915,11.3306,AVX
40960,0.003643,0.003640,0.000012,0.003616,0.003657,0.003657,11.2432,AVX
49152,0.004373,0.004378,0.000012,0.004362,0.004404,0.004403,11.2396,AVX
57344,0.005106,0.005106,0.000005,0.005100,0.005115,0.005114,11.2313,AVX
65536,0.005823,0.005826,0.000014,0.005809,0.005851,0.005850,11.2540,AVX
