array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000036,0.000036,0.000001,0.000036,0.000038,0.000038,14.3838,AVX2
1024,0.000082,0.000083,0.000001,0.000082,0.000085,0.000085,12.4285,AVX2
2048,0.000160,0.000164,0.000006,0.000160,0.000176,0.000176,12.7675,AVX2
4096,0.000343,0.000343,0.000002,0.000341,0.000346,0.000346,11.9574,AVX2
8192,0.000708,0.000708,0.000001,0.000705,0.000710,0.000710,11.5743,AVX2
12288,0.001072,0.001073,0.000002,0.001070,0.001076,0.001076,11.4577,AVX2
16384,0.001437,0.001437,0.000002,0.001433,0.001442,0.001442,11.3990,AVX2
20480,0.001816,0.001816,0.000009,0.001801,0.001838,0.001837,11.2803,AVX2
24576,0.002167,0.002168,0.000004,0.002163,0.002176,0.002175,11.3392,AVX2
28672,0.002527,0.002527,0.000002,0.002524,0.002532,0.002532,11.3474,AVX2
32768,0.002893,0.002894,0.000006,0.002889,0.002909,0.002908,11.3274,AVX2
40960,0.003620,0.003620,0.000002,0.003617,0.003624,0.003623,11.3158,AVX2
49152,0.004346,0.004346,0.000002,0.004342,0.004350,0.004350,11.3109,AVX2
57344,0.005077,0.005076,0.000004,0.005068,0.005083,0.005083,11.2953,AVX2
65536,0.005803,0.005802,0.000004,0.005794,0.005809,0.005808,11.2937,AVX2
