array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000017,0.000017,0.000000,0.000017,0.000017,0.000017,30.7030,AVX-512F
1024,0.000034,0.000034,0.000001,0.000034,0.000037,0.000037,30.4664,AVX-512F
2048,0.000082,0.000079,0.000005,0.000069,0.000084,0.000084,24.9108,AVX-512F
4096,0.000161,0.000161,0.000001,0.000160,0.000165,0.000165,25.5171,AVX-512F
8192,0.000345,0.000346,0.000004,0.000343,0.000357,0.000356,23.7355,AVX-512F
12288,0.000530,0.000531,0.000003,0.000528,0.000538,0.000538,23.1752,AVX-512F
16384,0.000716,0.000716,0.000003,0.000711,0.000719,0.000719,22.8723,AVX-512F
20480,0.000896,0.000897,0.000003,0.000894,0.000903,0.000903,22.8571,AVX-512F
24576,0.001078,0.001081,0.000004,0.001078,0.001087,0.001086,22.7910,AVX-512F
28672,0.001260,0.001262,0.000004,0.001259,0.001269,0.001269,22.7526,AVX-512F
32768,0.001444,0.001446,0.000005,0.001439,0.001453,0.001453,22.6949,AVX-512F
40960,0.001808,0.001810,0.000005,0.001803,0.001816,0.001816,22.6536,AVX-512F
49152,0.002176,0.002177,0.000005,0.002171,0.002184,0.002184,22.5920,AVX-512F
57344,0.002543,0.002543,0.000002,0.002539,0.002545,0.002545,22.5529,AVX-512F
65536,0.002907,0.002907,0.000001,0.002905,0.002910,0.002910,22.5436,AVX-512F
