array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000172,0.000173,0.000001,0.000172,0.000175,0.000175,2.9706,Scalar
1024,0.000354,0.000355,0.000003,0.000353,0.000362,0.000362,2.8913,Scalar
2048,0.000718,0.000718,0.000001,0.000716,0.000721,0.000721,2.8532,Scalar
4096,0.001434,0.001437,0.000006,0.001431,0.001445,0.001445,2.8568,Scalar
8192,0.002888,0.002889,0.000004,0.002886,0.002899,0.002899,2.8369,Scalar
12288,0.004342,0.004346,0.000008,0.004338,0.004362,0.004361,2.8302,Scalar
16384,0.005811,0.005815,0.000012,0.005804,0.005837,0.005837,2.8197,Scalar
20480,0.007264,0.007264,0.000005,0.007256,0.007273,0.007272,2.8192,Scalar
24576,0.008724,0.008723,0.000004,0.008718,0.008730,0.008730,2.8170,Scalar
28672,0.010182,0.010184,0.000005,0.010178,0.010192,0.010191,2.8159,Scalar
32768,0.011633,0.011636,0.000006,0.011628,0.011648,0.011647,2.8167,Scalar
40960,0.014554,0.014554,0.000015,0.014531,0.014587,0.014585,2.8143,Scalar
49152,0.017469,0.017475,0.000023,0.017451,0.017515,0.017515,2.8136,Scalar
57344,0.020383,0.020380,0.000013,0.020356,0.020403,0.020402,2.8133,Scalar
65536,0.023288,0.023288,0.000020,0.023258,0.023319,0.023319,2.8142,Scalar
