array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000072,0.000074,0.000005,0.000070,0.000082,0.000082,7.0963,SSE2
1024,0.000162,0.000162,0.000001,0.000161,0.000164,0.000164,6.3385,SSE2
2048,0.000343,0.000344,0.000002,0.000342,0.000348,0.000348,5.9741,SSE2
4096,0.000707,0.000706,0.000001,0.000704,0.000708,0.000708,5.7946,SSE2
8192,0.001434,0.001434,0.000001,0.001432,0.001436,0.001436,5.7115,SSE2
12288,0.002161,0.002161,0.000002,0.002159,0.002164,0.002164,5.6858,SSE2
16384,0.002888,0.002888,0.000003,0.002884,0.002893,0.002893,5.6734,SSE2
20480,0.003612,0.003615,0.000008,0.003609,0.003638,0.003636,5.6698,SSE2
24576,0.004345,0.004345,0.000008,0.004334,0.004363,0.004362,5.6559,SSE2
28672,0.005071,0.005070,0.000005,0.005062,0.005079,0.005079,5.6543,SSE2
32768,0.005793,0.005791,0.000004,0.005783,0.005795,0.005795,5.6563,SSE2
40960,0.007242,0.007242,0.000003,0.007237,0.007247,0.007246,5.6556,SSE2
49152,0.008693,0.008698,0.000010,0.008691,0.008725,0.008724,5.6541,SSE2
57344,0.010152,0.010150,0.000003,0.010146,0.010154,0.010154,5.6487,SSE2
65536,0.011608,0.011638,0.000048,0.011595,0.011744,0.011740,5.6456,SSE2
