array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000017,0.000017,0.000001,0.000017,0.000020,0.000020,30.1620,AVX
1024,0.000034,0.000034,0.000000,0.000033,0.000034,0.000034,30.5118,AVX
2048,0.000081,0.000081,0.000001,0.000080,0.000083,0.000083,25.2598,AVX
4096,0.000172,0.000174,0.000003,0.000172,0.000182,0.000182,23.7670,AVX
8192,0.000358,0.000358,0.000001,0.000356,0.000360,0.000360,22.8697,AVX
12288,0.000542,0.000543,0.000003,0.000540,0.000550,0.000549,22.6673,AVX
16384,0.000728,0.000728,0.000002,0.000726,0.000732,0.000732,22.5051,AVX
20480,0.000912,0.000913,0.000003,0.000909,0.000921,0.000921,22.4525,AVX
24576,0.001096,0.001098,0.000004,0.001095,0.001106,0.001106,22.4214,AVX
28672,0.001281,0.001281,0.000002,0.001278,0.001286,0.001285,22.3814,AVX
32768,0.001466,0.001466,0.000003,0.001461,0.001469,0.001469,22.3573,AVX
40960,0.001835,0.001836,0.000005,0.001833,0.001850,0.001849,22.3273,AVX
49152,0.002204,0.002205,0.000004,0.002200,0.002211,0.002211,22.2995,AVX
57344,0.002578,0.002580,0.000006,0.002570,0.002592,0.002591,22.2407,AVX
65536,0.002944,0.002944,0.000004,0.002937,0.002952,0.002952,22.2574,AVX
