array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000018,0.000018,0.000000,0.000018,0.000019,0.000019,28.4921,AVX2
1024,0.000032,0.000033,0.000001,0.000032,0.000035,0.000035,31.5507,AVX2
2048,0.000066,0.000066,0.000000,0.000066,0.000067,0.000067,30.9948,AVX2
4096,0.000148,0.000148,0.000002,0.000146,0.000153,0.000153,27.7310,AVX2
8192,0.000331,0.000331,0.000002,0.000329,0.000336,0.000335,24.7806,AVX2
12288,0.000510,0.000510,0.000003,0.000508,0.000517,0.000516,24.1140,AVX2
16384,0.000696,0.000696,0.000001,0.000694,0.000698,0.000698,23.5387,AVX2
20480,0.000880,0.000880,0.000002,0.000878,0.000885,0.000885,23.2816,AVX2
24576,0.001062,0.001063,0.000002,0.001060,0.001068,0.001068,23.1404,AVX2
28672,0.001245,0.001245,0.000002,0.001243,0.001249,0.001249,23.0308,AVX2
32768,0.001428,0.001429,0.000001,0.001427,0.001432,0.001432,22.9432,AVX2
40960,0.001794,0.001795,0.000002,0.001793,0.001799,0.001799,22.8310,AVX2
49152,0.002161,0.002161,0.000004,0.002156,0.002167,0.002167,22.7455,AVX2
57344,0.002528,0.002530,0.000008,0.002522,0.002550,0.002549,22.6854,AVX2
65536,0.002891,0.002892,0.000003,0.002886,0.002898,0.002898,22.6660,AVX2
