array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000005,0.000000,0.000005,0.000006,0.000006,100.8092,AVX-512F
1024,0.000011,0.000011,0.000000,0.000011,0.000012,0.000012,90.7568,AVX-512F
2048,0.000028,0.000028,0.000000,0.000027,0.000028,0.000028,73.6431,AVX-512F
4096,0.000061,0.000062,0.000001,0.000061,0.000063,0.000063,66.8849,AVX-512F
8192,0.000151,0.000151,0.000001,0.000151,0.000153,0.000153,54.1792,AVX-512F
12288,0.000243,0.000244,0.000001,0.000243,0.000245,0.000245,50.4678,AVX-512F
16384,0.000344,0.000346,0.000004,0.000342,0.000357,0.000356,47.5647,AVX-512F
20480,0.000437,0.000437,0.000001,0.000435,0.000440,0.000440,46.8692,AVX-512F
24576,0.000529,0.000529,0.000002,0.000527,0.000534,0.000534,46.4892,AVX-512F
28672,0.000621,0.000621,0.000001,0.000619,0.000623,0.000623,46.1954,AVX-512F
32768,0.000713,0.000714,0.000003,0.000711,0.000720,0.000720,45.9329,AVX-512F
40960,0.000898,0.000898,0.000002,0.000896,0.000904,0.000903,45.6183,AVX-512F
49152,0.001081,0.001082,0.000003,0.001080,0.001090,0.001089,45.4607,AVX-512F
57344,0.001265,0.001266,0.000002,0.001264,0.001271,0.001271,45.3330,AVX-512F
65536,0.001450,0.001450,0.000003,0.001446,0.001457,0.001457,45.2016,AVX-512F
