array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000178,0.000178,0.000001,0.000176,0.000181,0.000181,2.8827,Scalar
1024,0.000360,0.000360,0.000001,0.000357,0.000363,0.000363,2.8482,Scalar
2048,0.000721,0.000722,0.000002,0.000718,0.000727,0.000727,2.8397,Scalar
4096,0.001446,0.001448,0.000003,0.001445,0.001453,0.001453,2.8321,Scalar
8192,0.002902,0.002902,0.000005,0.002895,0.002913,0.002912,2.8227,Scalar
12288,0.004370,0.004452,0.000144,0.004355,0.004737,0.004735,2.8119,Scalar
16384,0.005813,0.005816,0.000015,0.005801,0.005857,0.005854,2.8188,Scalar
20480,0.007273,0.007271,0.000010,0.007256,0.007288,0.007288,2.8160,Scalar
24576,0.008709,0.008712,0.000008,0.008705,0.008734,0.008732,2.8220,Scalar
28672,0.010181,0.010178,0.000009,0.010162,0.010190,0.010189,2.8163,Scalar
32768,0.011622,0.011633,0.000029,0.011617,0.011719,0.011711,2.8195,Scalar
40960,0.014597,0.014616,0.000062,0.014558,0.014737,0.014735,2.8060,Scalar
49152,0.017519,0.017548,0.000088,0.017445,0.017721,0.017715,2.8056,Scalar
57344,0.020376,0.020379,0.000016,0.020357,0.020414,0.020412,2.8143,Scalar
65536,0.023280,0.023279,0.000015,0.023251,0.023302,0.023302,2.8151,Scalar
