array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000071,0.000071,0.000001,0.000070,0.000073,0.000073,7.2277,SSE2
1024,0.000148,0.000149,0.000001,0.000148,0.000150,0.000150,6.8998,SSE2
2048,0.000304,0.000305,0.000003,0.000303,0.000312,0.000311,6.7408,SSE2
4096,0.000614,0.000615,0.000003,0.000612,0.000622,0.000621,6.6691,SSE2
8192,0.001235,0.001235,0.000002,0.001233,0.001240,0.001240,6.6355,SSE2
12288,0.001854,0.001854,0.000003,0.001851,0.001859,0.001859,6.6281,SSE2
16384,0.002471,0.002472,0.000003,0.002469,0.002476,0.002476,6.6305,SSE2
20480,0.003089,0.003091,0.000006,0.003085,0.003104,0.003103,6.6291,SSE2
24576,0.003705,0.003704,0.000005,0.003697,0.003714,0.003714,6.6336,SSE2
28672,0.004320,0.004319,0.000002,0.004315,0.004323,0.004323,6.6373,SSE2
32768,0.004938,0.004938,0.000004,0.004931,0.004944,0.004944,6.6356,SSE2
40960,0.006167,0.006168,0.000005,0.006160,0.006174,0.006174,6.6419,SSE2
49152,0.007403,0.007403,0.000005,0.007395,0.007410,0.007410,6.6393,SSE2
57344,0.008638,0.008638,0.000003,0.008632,0.008643,0.008643,6.6389,SSE2
65536,0.009859,0.009859,0.000006,0.009849,0.009869,0.009868,6.6475,SSE2
