array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000031,0.000031,0.000000,0.000030,0.000031,0.000031,16.7431,SSE4.2
1024,0.000060,0.000060,0.000001,0.000059,0.000062,0.000062,17.0708,SSE4.2
2048,0.000150,0.000150,0.000001,0.000149,0.000152,0.000152,13.6715,SSE4.2
4096,0.000332,0.000333,0.000002,0.000330,0.000338,0.000338,12.3363,SSE4.2
8192,0.000697,0.000697,0.000003,0.000692,0.000705,0.000705,11.7577,SSE4.2
12288,0.001063,0.001063,0.000002,0.001061,0.001066,0.001066,11.5644,SSE4.2
16384,0.001427,0.001428,0.000003,0.001425,0.001434,0.001434,11.4814,SSE4.2
20480,0.001794,0.001794,0.000007,0.001776,0.001805,0.001804,11.4156,SSE4.2
24576,0.002160,0.002160,0.000002,0.002157,0.002165,0.002165,11.3772,SSE4.2
28672,0.002524,0.002524,0.000005,0.002514,0.002531,0.002531,11.3599,SSE4.2
32768,0.002893,0.002891,0.000013,0.002857,0.002909,0.002909,11.3251,SSE4.2
40960,0.003621,0.003618,0.000008,0.003597,0.003626,0.003625,11.3126,SSE4.2
49152,0.004347,0.004349,0.000005,0.004344,0.004360,0.004359,11.3060,SSE4.2
57344,0.005082,0.005080,0.000007,0.005064,0.005088,0.005088,11.2848,SSE4.2
65536,0.005810,0.005810,0.000004,0.005803,0.005818,0.005818,11.2799,SSE4.2
