array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000033,0.000033,0.000000,0.000033,0.000033,0.000033,15.5260,NEON
1024,0.000077,0.000077,0.000000,0.000077,0.000078,0.000078,13.3334,NEON
2048,0.000168,0.000170,0.000005,0.000168,0.000184,0.000183,12.1689,NEON
4096,0.000352,0.000355,0.000010,0.000351,0.000385,0.000382,11.6484,NEON
8192,0.000718,0.000718,0.000001,0.000717,0.000720,0.000720,11.4172,NEON
12288,0.001084,0.001084,0.000001,0.001083,0.001085,0.001085,11.3370,NEON
16384,0.001450,0.001450,0.000001,0.001449,0.001451,0.001451,11.2955,NEON
20480,0.001816,0.001816,0.000001,0.001816,0.001818,0.001818,11.2766,NEON
24576,0.002182,0.002183,0.000002,0.002182,0.002187,0.002187,11.2617,NEON
28672,0.002549,0.002549,0.000000,0.002548,0.002549,0.002549,11.2496,NEON
32768,0.002915,0.002915,0.000000,0.002914,0.002916,0.002915,11.2413,NEON
40960,0.003647,0.003647,0.000000,0.003646,0.003648,0.003648,11.2304,NEON
49152,0.004380,0.004380,0.000000,0.004380,0.004381,0.004381,11.2207,NEON
57344,0.005113,0.005113,0.000001,0.005112,0.005114,0.005114,11.2157,NEON
65536,0.005847,0.005848,0.000002,0.005846,0.005854,0.005853,11.2082,NEON
