array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000235,0.000236,0.000001,0.000235,0.000239,0.000238,2.1755,Scalar
1024,0.000467,0.000468,0.000002,0.000467,0.000474,0.000473,2.1921,Scalar
2048,0.000932,0.000935,0.000009,0.000931,0.000962,0.000959,2.1982,Scalar
4096,0.001860,0.001860,0.000001,0.001858,0.001863,0.001863,2.2026,Scalar
8192,0.003715,0.003715,0.000001,0.003714,0.003717,0.003717,2.2050,Scalar
12288,0.005571,0.005572,0.000002,0.005570,0.005578,0.005578,2.2057,Scalar
16384,0.009597,0.009065,0.000749,0.007428,0.009604,0.009604,1.7071,Scalar
20480,0.012455,0.012170,0.000502,0.011124,0.012596,0.012589,1.6443,Scalar
24576,0.013608,0.013865,0.000602,0.013149,0.014975,0.014969,1.8060,Scalar
28672,0.017037,0.016863,0.000754,0.015915,0.017832,0.017821,1.6829,Scalar
32768,0.020091,0.020064,0.000247,0.019585,0.020347,0.020345,1.6309,Scalar
40960,0.025103,0.025138,0.000259,0.024700,0.025739,0.025699,1.6317,Scalar
49152,0.030325,0.030094,0.000669,0.028137,0.030494,0.030491,1.6208,Scalar
57344,0.035751,0.035632,0.000246,0.035095,0.035883,0.035878,1.6040,Scalar
65536,0.041006,0.041030,0.000110,0.040899,0.041274,0.041260,1.5982,Scalar
