array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000035,0.000035,0.000001,0.000035,0.000037,0.000037,14.6398,SVE
1024,0.000078,0.000078,0.000000,0.000077,0.000078,0.000078,13.2118,SVE
2048,0.000169,0.000171,0.000004,0.000169,0.000182,0.000181,12.1007,SVE
4096,0.000352,0.000353,0.000003,0.000352,0.000364,0.000363,11.6306,SVE
8192,0.000718,0.000720,0.000003,0.000718,0.000728,0.000728,11.4039,SVE
12288,0.001085,0.001085,0.000001,0.001084,0.001086,0.001086,11.3302,SVE
16384,0.001452,0.001452,0.000000,0.001452,0.001452,0.001452,11.2838,SVE
20480,0.001818,0.001819,0.000002,0.001817,0.001824,0.001824,11.2652,SVE
24576,0.002184,0.002184,0.000000,0.002184,0.002185,0.002185,11.2519,SVE
28672,0.002551,0.002553,0.000004,0.002550,0.002562,0.002561,11.2383,SVE
32768,0.002917,0.002918,0.000001,0.002917,0.002920,0.002920,11.2326,SVE
40960,0.003652,0.003652,0.000001,0.003650,0.003655,0.003655,11.2153,SVE
49152,0.004389,0.004390,0.000002,0.004388,0.004393,0.004393,11.1989,SVE
57344,0.005129,0.005129,0.000002,0.005125,0.005133,0.005133,11.1806,SVE
65536,0.005865,0.005866,0.000001,0.005864,0.005868,0.005868,11.1736,SVE
