array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000036,0.000035,0.000000,0.000035,0.000036,0.000036,14.4123,SVE2
1024,0.000077,0.000078,0.000001,0.000077,0.000079,0.000079,13.2172,SVE2
2048,0.000169,0.000170,0.000002,0.000169,0.000176,0.000175,12.1235,SVE2
4096,0.000353,0.000354,0.000005,0.000352,0.000369,0.000367,11.6187,SVE2
8192,0.000718,0.000719,0.000002,0.000718,0.000725,0.000725,11.4054,SVE2
12288,0.001085,0.001085,0.000001,0.001084,0.001086,0.001086,11.3299,SVE2
16384,0.001452,0.001452,0.000000,0.001451,0.001452,0.001452,11.2853,SVE2
20480,0.001817,0.001817,0.000000,0.001816,0.001818,0.001818,11.2731,SVE2
24576,0.002184,0.002184,0.000001,0.002182,0.002185,0.002185,11.2543,SVE2
28672,0.002551,0.002551,0.000001,0.002549,0.002553,0.002553,11.2403,SVE2
32768,0.002918,0.002918,0.000001,0.002917,0.002919,0.002919,11.2293,SVE2
40960,0.003656,0.003657,0.000003,0.003655,0.003666,0.003665,11.2038,SVE2
49152,0.004394,0.004394,0.000001,0.004392,0.004396,0.004396,11.1861,SVE2
57344,0.005131,0.005131,0.000001,0.005129,0.005133,0.005133,11.1761,SVE2
65536,0.005866,0.005866,0.000001,0.005865,0.005867,0.005867,11.1722,SVE2
