array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000029,0.000030,0.000000,0.000029,0.000031,0.000031,17.3613,AVX
1024,0.000070,0.000071,0.000001,0.000070,0.000073,0.000073,14.6155,AVX
2048,0.000161,0.000162,0.000002,0.000161,0.000166,0.000166,12.7051,AVX
4096,0.000343,0.000343,0.000001,0.000342,0.000345,0.000345,11.9508,AVX
8192,0.000708,0.000708,0.000001,0.000706,0.000710,0.000710,11.5758,AVX
12288,0.001071,0.001071,0.000002,0.001068,0.001074,0.001074,11.4712,AVX
16384,0.001435,0.001435,0.000003,0.001431,0.001442,0.001442,11.4173,AVX
20480,0.001801,0.001800,0.000002,0.001797,0.001803,0.001803,11.3742,AVX
24576,0.002163,0.002162,0.000002,0.002159,0.002164,0.002164,11.3630,AVX
28672,0.002530,0.002531,0.000003,0.002526,0.002537,0.002536,11.3348,AVX
32768,0.002896,0.002895,0.000003,0.002890,0.002901,0.002901,11.3148,AVX
40960,0.003619,0.003618,0.000002,0.003615,0.003621,0.003620,11.3194,AVX
49152,0.004347,0.004348,0.000003,0.004344,0.004353,0.004353,11.3066,AVX
57344,0.005073,0.005073,0.000002,0.005070,0.005077,0.005077,11.3037,AVX
65536,0.005804,0.005804,0.000002,0.005799,0.005807,0.005807,11.2910,AVX
