array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000030,0.000030,0.000001,0.000030,0.000032,0.000032,17.2764,AVX2
1024,0.000070,0.000070,0.000000,0.000070,0.000071,0.000071,14.5849,AVX2
2048,0.000162,0.000162,0.000001,0.000161,0.000163,0.000163,12.6738,AVX2
4096,0.000344,0.000345,0.000002,0.000343,0.000350,0.000350,11.9169,AVX2
8192,0.000708,0.000709,0.000002,0.000707,0.000712,0.000711,11.5661,AVX2
12288,0.001079,0.001086,0.000013,0.001075,0.001111,0.001111,11.3929,AVX2
16384,0.001453,0.001458,0.000010,0.001449,0.001476,0.001476,11.2790,AVX2
20480,0.001802,0.001805,0.000007,0.001797,0.001816,0.001815,11.3683,AVX2
24576,0.002164,0.002165,0.000003,0.002160,0.002170,0.002170,11.3543,AVX2
28672,0.002526,0.002526,0.000002,0.002522,0.002529,0.002529,11.3503,AVX2
32768,0.002893,0.002893,0.000006,0.002888,0.002910,0.002908,11.3282,AVX2
40960,0.003620,0.003620,0.000002,0.003617,0.003624,0.003624,11.3141,AVX2
49152,0.004348,0.004348,0.000002,0.004344,0.004352,0.004352,11.3041,AVX2
57344,0.005073,0.005073,0.000003,0.005068,0.005078,0.005078,11.3033,AVX2
65536,0.005801,0.005801,0.000003,0.005797,0.005806,0.005806,11.2978,AVX2
