array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000013,0.000013,0.000001,0.000013,0.000016,0.000016,39.7488,AVX-512F
1024,0.000030,0.000030,0.000000,0.000030,0.000031,0.000031,33.7878,AVX-512F
2048,0.000071,0.000072,0.000001,0.000071,0.000076,0.000076,28.7498,AVX-512F
4096,0.000163,0.000163,0.000001,0.000162,0.000167,0.000167,25.2025,AVX-512F
8192,0.000347,0.000348,0.000002,0.000345,0.000352,0.000352,23.5792,AVX-512F
12288,0.000532,0.000532,0.000001,0.000530,0.000535,0.000535,23.1099,AVX-512F
16384,0.000716,0.000716,0.000001,0.000713,0.000717,0.000717,22.8939,AVX-512F
20480,0.000898,0.000899,0.000003,0.000896,0.000904,0.000904,22.8049,AVX-512F
24576,0.001081,0.001081,0.000002,0.001079,0.001086,0.001086,22.7409,AVX-512F
28672,0.001264,0.001264,0.000001,0.001262,0.001265,0.001265,22.6862,AVX-512F
32768,0.001446,0.001446,0.000002,0.001443,0.001449,0.001449,22.6686,AVX-512F
40960,0.001812,0.001812,0.000001,0.001809,0.001814,0.001814,22.6038,AVX-512F
49152,0.002178,0.002178,0.000001,0.002176,0.002180,0.002180,22.5677,AVX-512F
57344,0.002548,0.002549,0.000004,0.002545,0.002561,0.002560,22.5022,AVX-512F
65536,0.002911,0.002911,0.000002,0.002908,0.002913,0.002913,22.5141,AVX-512F
