array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000160,0.000160,0.000001,0.000159,0.000162,0.000162,3.2053,Scalar
1024,0.000340,0.000341,0.000002,0.000339,0.000345,0.000345,3.0081,Scalar
2048,0.000702,0.000702,0.000001,0.000700,0.000704,0.000704,2.9172,Scalar
4096,0.001427,0.001426,0.000002,0.001423,0.001430,0.001430,2.8710,Scalar
8192,0.002878,0.002877,0.000004,0.002869,0.002881,0.002881,2.8468,Scalar
12288,0.004334,0.004334,0.000002,0.004331,0.004338,0.004337,2.8354,Scalar
16384,0.005782,0.005784,0.000007,0.005775,0.005799,0.005798,2.8334,Scalar
20480,0.007214,0.007215,0.000004,0.007210,0.007221,0.007221,2.8390,Scalar
24576,0.008657,0.008658,0.000003,0.008654,0.008664,0.008664,2.8389,Scalar
28672,0.010107,0.010110,0.000014,0.010097,0.010142,0.010140,2.8370,Scalar
32768,0.011547,0.011550,0.000008,0.011542,0.011571,0.011570,2.8378,Scalar
40960,0.014443,0.014444,0.000016,0.014426,0.014483,0.014480,2.8360,Scalar
49152,0.017326,0.017326,0.000004,0.017318,0.017332,0.017332,2.8368,Scalar
57344,0.020215,0.020215,0.000005,0.020208,0.020224,0.020224,2.8367,Scalar
65536,0.023108,0.023110,0.000006,0.023101,0.023119,0.023119,2.8360,Scalar
