array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000070,0.000070,0.000000,0.000070,0.000071,0.000071,7.2657,SSE2
1024,0.000161,0.000162,0.000002,0.000161,0.000169,0.000169,6.3483,SSE2
2048,0.000343,0.000343,0.000001,0.000342,0.000345,0.000345,5.9761,SSE2
4096,0.000706,0.000706,0.000001,0.000704,0.000707,0.000707,5.8047,SSE2
8192,0.001432,0.001432,0.000001,0.001429,0.001433,0.001433,5.7205,SSE2
12288,0.002157,0.002158,0.000002,0.002156,0.002161,0.002161,5.6959,SSE2
16384,0.002885,0.002886,0.000004,0.002882,0.002896,0.002895,5.6795,SSE2
20480,0.003610,0.003610,0.000003,0.003607,0.003617,0.003617,5.6729,SSE2
24576,0.004342,0.004343,0.000004,0.004338,0.004355,0.004354,5.6602,SSE2
28672,0.005070,0.005071,0.000004,0.005067,0.005080,0.005080,5.6557,SSE2
32768,0.005806,0.005819,0.000025,0.005793,0.005852,0.005852,5.6442,SSE2
40960,0.007258,0.007258,0.000004,0.007251,0.007264,0.007263,5.6438,SSE2
49152,0.008709,0.008714,0.000015,0.008706,0.008759,0.008754,5.6439,SSE2
57344,0.010183,0.010180,0.000014,0.010159,0.010196,0.010196,5.6311,SSE2
65536,0.011644,0.011643,0.000005,0.011633,0.011650,0.011650,5.6283,SSE2
