array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000071,0.000071,0.000001,0.000070,0.000073,0.000073,7.2404,SSE4.2
1024,0.000163,0.000163,0.000002,0.000161,0.000166,0.000166,6.2969,SSE4.2
2048,0.000349,0.000349,0.000006,0.000343,0.000363,0.000362,5.8755,SSE4.2
4096,0.000708,0.000709,0.000004,0.000704,0.000721,0.000720,5.7835,SSE4.2
8192,0.001437,0.001438,0.000004,0.001433,0.001445,0.001445,5.7025,SSE4.2
12288,0.002163,0.002166,0.000005,0.002160,0.002175,0.002175,5.6806,SSE4.2
16384,0.002895,0.002897,0.000006,0.002888,0.002906,0.002906,5.6587,SSE4.2
20480,0.003623,0.003625,0.000006,0.003616,0.003639,0.003639,5.6525,SSE4.2
24576,0.004358,0.004359,0.000014,0.004339,0.004387,0.004386,5.6397,SSE4.2
28672,0.005074,0.005076,0.000009,0.005062,0.005089,0.005089,5.6512,SSE4.2
32768,0.005808,0.005809,0.000006,0.005801,0.005822,0.005821,5.6421,SSE4.2
40960,0.007262,0.007262,0.000005,0.007248,0.007268,0.007268,5.6404,SSE4.2
49152,0.008720,0.008722,0.000006,0.008712,0.008731,0.008731,5.6367,SSE4.2
57344,0.010151,0.010154,0.000009,0.010146,0.010178,0.010176,5.6488,SSE4.2
65536,0.011602,0.011622,0.000034,0.011595,0.011706,0.011701,5.6486,SSE4.2
