array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000028,0.000028,0.000001,0.000028,0.000030,0.000030,18.4009,AVX
1024,0.000069,0.000069,0.000001,0.000069,0.000071,0.000071,14.8659,AVX
2048,0.000160,0.000160,0.000001,0.000159,0.000161,0.000161,12.8178,AVX
4096,0.000342,0.000342,0.000002,0.000340,0.000349,0.000349,11.9924,AVX
8192,0.000706,0.000706,0.000001,0.000704,0.000707,0.000707,11.6080,AVX
12288,0.001070,0.001070,0.000002,0.001067,0.001072,0.001072,11.4820,AVX
16384,0.001433,0.001433,0.000002,0.001430,0.001436,0.001436,11.4314,AVX
20480,0.001796,0.001796,0.000002,0.001793,0.001799,0.001799,11.4053,AVX
24576,0.002159,0.002160,0.000002,0.002157,0.002163,0.002163,11.3807,AVX
28672,0.002523,0.002523,0.000002,0.002520,0.002527,0.002527,11.3633,AVX
32768,0.002889,0.002889,0.000003,0.002884,0.002894,0.002894,11.3429,AVX
40960,0.003618,0.003618,0.000002,0.003615,0.003622,0.003622,11.3216,AVX
49152,0.004343,0.004343,0.000003,0.004339,0.004347,0.004347,11.3167,AVX
57344,0.005071,0.005071,0.000002,0.005067,0.005074,0.005074,11.3091,AVX
65536,0.005796,0.005797,0.000002,0.005793,0.005802,0.005802,11.3062,AVX
