array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000028,0.000028,0.000001,0.000028,0.000031,0.000031,18.4792,AVX2
1024,0.000069,0.000069,0.000001,0.000069,0.000071,0.000071,14.8248,AVX2
2048,0.000160,0.000160,0.000000,0.000160,0.000161,0.000161,12.7937,AVX2
4096,0.000342,0.000343,0.000003,0.000341,0.000350,0.000350,11.9667,AVX2
8192,0.000706,0.000707,0.000002,0.000704,0.000711,0.000711,11.5969,AVX2
12288,0.001070,0.001070,0.000002,0.001069,0.001074,0.001074,11.4872,AVX2
16384,0.001434,0.001434,0.000001,0.001432,0.001436,0.001436,11.4269,AVX2
20480,0.001798,0.001798,0.000002,0.001795,0.001801,0.001801,11.3921,AVX2
24576,0.002162,0.002162,0.000002,0.002159,0.002165,0.002164,11.3697,AVX2
28672,0.002524,0.002525,0.000002,0.002523,0.002529,0.002529,11.3586,AVX2
32768,0.002889,0.002890,0.000004,0.002885,0.002899,0.002899,11.3410,AVX2
40960,0.003617,0.003616,0.000002,0.003614,0.003619,0.003619,11.3258,AVX2
49152,0.004344,0.004343,0.000001,0.004340,0.004344,0.004344,11.3162,AVX2
57344,0.005074,0.005076,0.000006,0.005071,0.005089,0.005089,11.3012,AVX2
65536,0.005802,0.005806,0.000007,0.005800,0.005820,0.005820,11.2945,AVX2
