array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000161,0.000162,0.000001,0.000161,0.000165,0.000165,3.1735,Scalar
1024,0.000343,0.000344,0.000002,0.000342,0.000349,0.000349,2.9826,Scalar
2048,0.000707,0.000707,0.000001,0.000706,0.000709,0.000709,2.8979,Scalar
4096,0.001433,0.001434,0.000002,0.001431,0.001438,0.001438,2.8581,Scalar
8192,0.002888,0.002889,0.000003,0.002886,0.002896,0.002896,2.8363,Scalar
12288,0.004343,0.004344,0.000002,0.004342,0.004349,0.004349,2.8292,Scalar
16384,0.005804,0.005807,0.000009,0.005798,0.005828,0.005826,2.8230,Scalar
20480,0.007251,0.007251,0.000002,0.007248,0.007253,0.007253,2.8244,Scalar
24576,0.008707,0.008707,0.000003,0.008702,0.008711,0.008711,2.8227,Scalar
28672,0.010161,0.010160,0.000002,0.010156,0.010162,0.010162,2.8219,Scalar
32768,0.011614,0.011613,0.000004,0.011607,0.011620,0.011620,2.8215,Scalar
40960,0.014516,0.014517,0.000003,0.014514,0.014522,0.014522,2.8216,Scalar
49152,0.017428,0.017428,0.000002,0.017425,0.017431,0.017431,2.8202,Scalar
57344,0.020333,0.020334,0.000007,0.020326,0.020353,0.020351,2.8203,Scalar
65536,0.023250,0.023252,0.000007,0.023244,0.023264,0.023264,2.8187,Scalar
