array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000070,0.000070,0.000001,0.000070,0.000072,0.000072,7.2850,SSE2
1024,0.000161,0.000161,0.000000,0.000161,0.000162,0.000162,6.3558,SSE2
2048,0.000343,0.000344,0.000002,0.000342,0.000348,0.000348,5.9730,SSE2
4096,0.000705,0.000705,0.000001,0.000703,0.000707,0.000707,5.8082,SSE2
8192,0.001433,0.001433,0.000001,0.001430,0.001435,0.001435,5.7177,SSE2
12288,0.002157,0.002157,0.000001,0.002155,0.002160,0.002160,5.6975,SSE2
16384,0.002883,0.002883,0.000002,0.002879,0.002885,0.002885,5.6839,SSE2
20480,0.003607,0.003608,0.000003,0.003605,0.003612,0.003612,5.6780,SSE2
24576,0.004338,0.004338,0.000004,0.004332,0.004348,0.004348,5.6649,SSE2
28672,0.005061,0.005062,0.000002,0.005059,0.005065,0.005065,5.6649,SSE2
32768,0.005787,0.005787,0.000003,0.005782,0.005792,0.005792,5.6627,SSE2
40960,0.007237,0.007237,0.000002,0.007235,0.007240,0.007240,5.6598,SSE2
49152,0.008687,0.008687,0.000002,0.008685,0.008690,0.008690,5.6580,SSE2
57344,0.010136,0.010137,0.000002,0.010133,0.010142,0.010141,5.6573,SSE2
65536,0.011590,0.011590,0.000002,0.011585,0.011594,0.011594,5.6543,SSE2
