array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000070,0.000070,0.000001,0.000069,0.000072,0.000072,7.3469,SSE4.2
1024,0.000160,0.000161,0.000001,0.000160,0.000163,0.000163,6.3813,SSE4.2
2048,0.000341,0.000343,0.000003,0.000341,0.000353,0.000352,5.9983,SSE4.2
4096,0.000705,0.000705,0.000001,0.000702,0.000706,0.000706,5.8131,SSE4.2
8192,0.001429,0.001430,0.000001,0.001428,0.001433,0.001433,5.7308,SSE4.2
12288,0.002156,0.002157,0.000002,0.002154,0.002160,0.002160,5.6982,SSE4.2
16384,0.002882,0.002881,0.000002,0.002879,0.002884,0.002884,5.6846,SSE4.2
20480,0.003608,0.003608,0.000003,0.003605,0.003615,0.003615,5.6756,SSE4.2
24576,0.004352,0.004361,0.000019,0.004343,0.004398,0.004397,5.6467,SSE4.2
28672,0.005069,0.005068,0.000003,0.005061,0.005072,0.005072,5.6567,SSE4.2
32768,0.005800,0.005801,0.000006,0.005792,0.005813,0.005812,5.6499,SSE4.2
40960,0.007246,0.007247,0.000004,0.007243,0.007256,0.007255,5.6528,SSE4.2
49152,0.008697,0.008696,0.000002,0.008691,0.008701,0.008700,5.6519,SSE4.2
57344,0.010148,0.010148,0.000005,0.010141,0.010159,0.010158,5.6510,SSE4.2
65536,0.011595,0.011595,0.000004,0.011589,0.011604,0.011603,5.6523,SSE4.2
