array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000013,0.000001,0.000012,0.000014,0.000014,41.6467,AVX
1024,0.000024,0.000024,0.000000,0.000024,0.000025,0.000025,42.0486,AVX
2048,0.000055,0.000055,0.000001,0.000054,0.000058,0.000057,37.0527,AVX
4096,0.000111,0.000114,0.000008,0.000110,0.000138,0.000136,37.0233,AVX
8192,0.000385,0.000385,0.000005,0.000375,0.000396,0.000395,21.3010,AVX
12288,0.000575,0.000580,0.000009,0.000574,0.000599,0.000599,21.3670,AVX
16384,0.000765,0.000771,0.000013,0.000756,0.000801,0.000800,21.4147,AVX
20480,0.000955,0.000960,0.000014,0.000943,0.000991,0.000990,21.4397,AVX
24576,0.001147,0.001153,0.000011,0.001140,0.001172,0.001171,21.4203,AVX
28672,0.001343,0.001346,0.000011,0.001329,0.001361,0.001361,21.3497,AVX
32768,0.001339,0.001347,0.000018,0.001323,0.001376,0.001376,24.4798,AVX
40960,0.001608,0.001619,0.000020,0.001596,0.001654,0.001653,25.4733,AVX
49152,0.001936,0.001933,0.000018,0.001908,0.001953,0.001953,25.3835,AVX
57344,0.002260,0.002268,0.000030,0.002232,0.002317,0.002317,25.3710,AVX
65536,0.003107,0.003115,0.000018,0.003102,0.003165,0.003161,21.0918,AVX
