array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000013,0.000013,0.000001,0.000013,0.000016,0.000015,40.8004,AVX2
1024,0.000024,0.000025,0.000001,0.000024,0.000028,0.000027,41.8970,AVX2
2048,0.000064,0.000065,0.000000,0.000064,0.000065,0.000065,31.7852,AVX2
4096,0.000121,0.000123,0.000004,0.000120,0.000132,0.000131,33.7421,AVX2
8192,0.000384,0.000385,0.000002,0.000383,0.000389,0.000389,21.3231,AVX2
12288,0.000576,0.000576,0.000001,0.000573,0.000578,0.000578,21.3382,AVX2
16384,0.000767,0.000766,0.000004,0.000755,0.000771,0.000771,21.3677,AVX2
20480,0.000958,0.000957,0.000003,0.000950,0.000960,0.000960,21.3846,AVX2
24576,0.001148,0.001148,0.000003,0.001143,0.001152,0.001152,21.4022,AVX2
28672,0.001339,0.001338,0.000002,0.001334,0.001340,0.001340,21.4114,AVX2
32768,0.001297,0.001307,0.000035,0.001288,0.001412,0.001402,25.2665,AVX2
40960,0.001597,0.001595,0.000006,0.001585,0.001603,0.001603,25.6440,AVX2
49152,0.001912,0.001911,0.000007,0.001899,0.001924,0.001924,25.7120,AVX2
57344,0.002474,0.002474,0.000006,0.002464,0.002486,0.002486,23.1806,AVX2
65536,0.003530,0.003534,0.000015,0.003519,0.003574,0.003571,18.5655,AVX2
