array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000010,0.000010,0.000000,0.000010,0.000011,0.000011,52.7944,AVX-512F
1024,0.000019,0.000019,0.000000,0.000019,0.000020,0.000020,52.8410,AVX-512F
2048,0.000039,0.000039,0.000001,0.000039,0.000042,0.000041,52.9297,AVX-512F
4096,0.000077,0.000077,0.000001,0.000076,0.000078,0.000078,53.3268,AVX-512F
8192,0.000382,0.000384,0.000006,0.000380,0.000401,0.000400,21.4462,AVX-512F
12288,0.000568,0.000576,0.000019,0.000561,0.000625,0.000623,21.6196,AVX-512F
16384,0.000755,0.000759,0.000012,0.000752,0.000795,0.000792,21.7107,AVX-512F
20480,0.000942,0.000942,0.000001,0.000939,0.000943,0.000943,21.7470,AVX-512F
24576,0.001130,0.001131,0.000003,0.001127,0.001136,0.001136,21.7459,AVX-512F
28672,0.001236,0.001240,0.000013,0.001223,0.001267,0.001266,23.2009,AVX-512F
32768,0.001324,0.001326,0.000009,0.001314,0.001342,0.001341,24.7429,AVX-512F
40960,0.001658,0.001659,0.000005,0.001652,0.001665,0.001665,24.7006,AVX-512F
49152,0.001987,0.001987,0.000009,0.001969,0.002004,0.002003,24.7403,AVX-512F
57344,0.002222,0.002221,0.000005,0.002213,0.002228,0.002228,25.8095,AVX-512F
65536,0.002879,0.002882,0.000007,0.002871,0.002894,0.002893,22.7601,AVX-512F
