array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000002,0.000107,0.000113,0.000113,4.5632,Scalar
1024,0.000203,0.000204,0.000001,0.000201,0.000206,0.000206,5.0380,Scalar
2048,0.000397,0.000396,0.000003,0.000388,0.000398,0.000398,5.1643,Scalar
4096,0.000788,0.000789,0.000003,0.000787,0.000796,0.000795,5.1952,Scalar
8192,0.001585,0.001585,0.000002,0.001582,0.001589,0.001588,5.1674,Scalar
12288,0.002381,0.002382,0.000002,0.002379,0.002385,0.002385,5.1605,Scalar
16384,0.003237,0.003237,0.000001,0.003234,0.003239,0.003239,5.0613,Scalar
20480,0.003960,0.003960,0.000002,0.003957,0.003963,0.003963,5.1721,Scalar
24576,0.004756,0.004756,0.000002,0.004750,0.004759,0.004759,5.1677,Scalar
28672,0.005551,0.005554,0.000008,0.005547,0.005577,0.005575,5.1649,Scalar
32768,0.006226,0.006226,0.000003,0.006222,0.006232,0.006232,5.2633,Scalar
40960,0.007747,0.007747,0.000003,0.007743,0.007752,0.007751,5.2874,Scalar
49152,0.009289,0.009290,0.000007,0.009280,0.009300,0.009300,5.2917,Scalar
57344,0.010852,0.010849,0.000013,0.010829,0.010866,0.010866,5.2844,Scalar
65536,0.012403,0.012405,0.000008,0.012393,0.012424,0.012423,5.2839,Scalar
