array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000023,0.000024,0.000000,0.000023,0.000025,0.000025,21.8572,SSE2
1024,0.000053,0.000053,0.000000,0.000053,0.000054,0.000054,19.1805,SSE2
2048,0.000101,0.000101,0.000001,0.000100,0.000104,0.000104,20.2822,SSE2
4096,0.000214,0.000217,0.000007,0.000213,0.000237,0.000235,19.1529,SSE2
8192,0.000497,0.000497,0.000004,0.000493,0.000507,0.000507,16.4992,SSE2
12288,0.000704,0.000705,0.000006,0.000699,0.000718,0.000718,17.4515,SSE2
16384,0.000966,0.000968,0.000005,0.000963,0.000978,0.000978,16.9688,SSE2
20480,0.001160,0.001163,0.000005,0.001157,0.001173,0.001173,17.6481,SSE2
24576,0.001425,0.001427,0.000006,0.001421,0.001437,0.001436,17.2452,SSE2
28672,0.001579,0.001582,0.000008,0.001572,0.001596,0.001595,18.1608,SSE2
32768,0.001758,0.001760,0.000007,0.001750,0.001771,0.001771,18.6428,SSE2
40960,0.002199,0.002198,0.000006,0.002188,0.002206,0.002206,18.6265,SSE2
49152,0.002655,0.002669,0.000035,0.002624,0.002723,0.002722,18.5149,SSE2
57344,0.003096,0.003098,0.000023,0.003066,0.003151,0.003148,18.5218,SSE2
65536,0.003782,0.003782,0.000004,0.003776,0.003787,0.003787,17.3291,SSE2
