array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000024,0.000024,0.000000,0.000024,0.000026,0.000026,21.1835,SSE4.2
1024,0.000054,0.000055,0.000001,0.000054,0.000057,0.000057,19.0188,SSE4.2
2048,0.000102,0.000102,0.000001,0.000101,0.000104,0.000104,20.1341,SSE4.2
4096,0.000223,0.000228,0.000012,0.000221,0.000264,0.000261,18.3377,SSE4.2
8192,0.000469,0.000471,0.000009,0.000465,0.000496,0.000494,17.4604,SSE4.2
12288,0.000661,0.000668,0.000018,0.000659,0.000717,0.000714,18.6041,SSE4.2
16384,0.000884,0.000892,0.000017,0.000879,0.000931,0.000930,18.5280,SSE4.2
20480,0.001120,0.001126,0.000011,0.001117,0.001148,0.001147,18.2825,SSE4.2
24576,0.001343,0.001351,0.000013,0.001341,0.001372,0.001372,18.2990,SSE4.2
28672,0.001638,0.001645,0.000011,0.001634,0.001662,0.001662,17.4996,SSE4.2
32768,0.001767,0.001769,0.000014,0.001750,0.001788,0.001788,18.5461,SSE4.2
40960,0.002201,0.002209,0.000022,0.002186,0.002255,0.002254,18.6083,SSE4.2
49152,0.002713,0.002712,0.000026,0.002673,0.002749,0.002748,18.1182,SSE4.2
57344,0.003108,0.003102,0.000017,0.003068,0.003120,0.003119,18.4514,SSE4.2
65536,0.003873,0.003871,0.000009,0.003854,0.003882,0.003882,16.9222,SSE4.2
