array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000029,0.000029,0.000002,0.000025,0.000032,0.000032,89541.4442,AVX2
1024,0.000056,0.000062,0.000011,0.000055,0.000090,0.000089,90661.0334,AVX2
2048,0.000104,0.000104,0.000004,0.000100,0.000115,0.000115,98364.4238,AVX2
4096,0.000657,0.000711,0.000143,0.000650,0.001139,0.001099,31166.1171,AVX2
8192,0.001434,0.001427,0.000044,0.001347,0.001505,0.001502,28571.7419,AVX2
12288,0.002151,0.002150,0.000025,0.002111,0.002180,0.002180,28569.7633,AVX2
16384,0.002876,0.002925,0.000109,0.002830,0.003147,0.003145,28483.5064,AVX2
20480,0.003542,0.003524,0.000096,0.003344,0.003654,0.003653,28908.7284,AVX2
24576,0.004264,0.004323,0.000124,0.004180,0.004596,0.004586,28818.5132,AVX2
28672,0.004945,0.005005,0.000224,0.004718,0.005595,0.005554,28991.0480,AVX2
32768,0.004280,0.004290,0.000071,0.004171,0.004415,0.004414,38276.7491,AVX2
40960,0.005949,0.005967,0.000202,0.005721,0.006418,0.006400,34424.6848,AVX2
49152,0.007352,0.007350,0.000085,0.007199,0.007489,0.007487,33427.0167,AVX2
57344,0.008982,0.009035,0.000184,0.008836,0.009536,0.009498,31923.2432,AVX2
65536,0.010621,0.010643,0.000123,0.010449,0.010895,0.010887,30852.4927,AVX2
81920,0.014133,0.014129,0.000373,0.013546,0.014966,0.014915,28981.3664,AVX2
98304,0.016956,0.016961,0.000279,0.016611,0.017642,0.017599,28987.3597,AVX2
114688,0.019414,0.019706,0.000705,0.018701,0.020919,0.020892,11815.2072,AVX2
131072,0.022802,0.022894,0.000683,0.021619,0.024229,0.024157,11496.3197,AVX2
163840,0.028292,0.028363,0.000582,0.027609,0.029225,0.029212,11582.2247,AVX2
196608,0.034907,0.034896,0.000614,0.033924,0.035901,0.035868,11264.5961,AVX2
229376,0.040015,0.040186,0.000681,0.039340,0.041580,0.041529,11464.6409,AVX2
262144,0.046939,0.046610,0.001083,0.045067,0.048165,0.048119,11169.5325,AVX2
327680,0.057813,0.057909,0.001296,0.056192,0.060579,0.060443,11335.8636,AVX2
393216,0.068670,0.068639,0.001480,0.066404,0.072066,0.071839,11452.3228,AVX2
458752,0.083076,0.083008,0.001862,0.080453,0.086357,0.086215,11044.1041,AVX2
524288,0.096198,0.096850,0.002368,0.093283,0.100532,0.100439,10900.1964,AVX2
655360,0.119374,0.120285,0.003537,0.115909,0.127983,0.127579,10979.9076,AVX2
786432,0.161659,0.162279,0.006225,0.155508,0.179005,0.177732,9729.4928,AVX2
917504,0.222601,0.222344,0.009859,0.206673,0.239624,0.238826,8243.4956,AVX2
1048576,0.273660,0.286396,0.028747,0.261178,0.348571,0.347397,7663.3447,AVX2
1310720,0.453022,0.517801,0.138125,0.428019,0.880711,0.859985,5786.5657,AVX2
1572864,1.146639,1.163161,0.078803,1.067658,1.301688,1.301423,2743.4329,AVX2
1835008,1.477214,1.488351,0.033869,1.453157,1.534483,1.534188,2484.4181,AVX2
2097152,1.847928,1.852325,0.011212,1.841895,1.881725,1.879633,1134.8668,AVX2
2621440,2.443488,2.441987,0.019343,2.404970,2.475545,2.473790,1072.8272,AVX2
3145728,2.928310,2.933988,0.016178,2.921319,2.979586,2.976238,1074.2469,AVX2
3670016,3.406353,3.404634,0.015529,3.370498,3.425918,3.425865,1077.4034,AVX2
4194304,3.845059,3.640514,0.436672,2.599518,3.896309,3.894232,1090.8296,AVX2
