array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000031,0.000030,0.000002,0.000026,0.000033,0.000032,83851.2784,AVX2
1024,0.000048,0.000048,0.000001,0.000046,0.000050,0.000050,107198.3102,AVX2
2048,0.000081,0.000080,0.000001,0.000077,0.000082,0.000082,126864.1890,AVX2
4096,0.000313,0.000314,0.000004,0.000310,0.000323,0.000323,65401.4176,AVX2
8192,0.000634,0.000635,0.000005,0.000633,0.000650,0.000649,64604.1519,AVX2
12288,0.000953,0.000954,0.000002,0.000952,0.000959,0.000958,64465.6567,AVX2
16384,0.001277,0.001285,0.000019,0.001272,0.001339,0.001335,64131.0036,AVX2
20480,0.001595,0.001602,0.000022,0.001590,0.001668,0.001662,64189.6605,AVX2
24576,0.001921,0.001937,0.000044,0.001912,0.002064,0.002054,63979.4772,AVX2
28672,0.002256,0.002297,0.000073,0.002237,0.002446,0.002443,63554.4308,AVX2
32768,0.002629,0.002653,0.000054,0.002612,0.002793,0.002785,62316.1161,AVX2
40960,0.003203,0.003221,0.000063,0.003176,0.003402,0.003388,63940.6040,AVX2
49152,0.003825,0.003839,0.000031,0.003815,0.003904,0.003903,64250.9691,AVX2
57344,0.004657,0.004707,0.000138,0.004592,0.005108,0.005075,61562.8700,AVX2
65536,0.005352,0.005352,0.000030,0.005310,0.005401,0.005401,61222.1671,AVX2
81920,0.007131,0.007174,0.000153,0.007071,0.007618,0.007580,57440.6527,AVX2
98304,0.008910,0.008970,0.000202,0.008863,0.009571,0.009516,55164.0770,AVX2
114688,0.010482,0.010474,0.000034,0.010405,0.010518,0.010517,21883.3539,AVX2
131072,0.011932,0.012022,0.000175,0.011906,0.012494,0.012462,21969.3394,AVX2
163840,0.014743,0.014889,0.000405,0.014705,0.016095,0.015988,22226.0411,AVX2
196608,0.017685,0.017723,0.000088,0.017624,0.017925,0.017917,22234.7640,AVX2
229376,0.020674,0.021049,0.001079,0.020618,0.024273,0.023975,22189.7051,AVX2
262144,0.023650,0.023679,0.000106,0.023555,0.023847,0.023846,22169.0554,AVX2
327680,0.029625,0.029687,0.000205,0.029403,0.030027,0.030025,22122.2213,AVX2
393216,0.035410,0.035575,0.000311,0.035295,0.036283,0.036255,22209.1307,AVX2
458752,0.041530,0.041574,0.000241,0.041309,0.042017,0.042017,22092.7716,AVX2
524288,0.047496,0.047526,0.000205,0.047285,0.047921,0.047910,22077.0627,AVX2
655360,0.059136,0.059242,0.000308,0.059056,0.060131,0.060057,22164.6301,AVX2
786432,0.072073,0.072051,0.000490,0.071162,0.073037,0.072976,21823.2875,AVX2
917504,0.094676,0.095135,0.000937,0.094132,0.096712,0.096676,19382.0500,AVX2
1048576,0.112561,0.113049,0.002347,0.110516,0.117353,0.117155,18631.2771,AVX2
1310720,0.143617,0.143667,0.000449,0.143098,0.144404,0.144403,18253.0097,AVX2
1572864,0.180415,0.179989,0.001445,0.177689,0.182505,0.182396,17436.0477,AVX2
1835008,0.224311,0.224070,0.004140,0.216571,0.231481,0.231324,16361.2844,AVX2
2097152,0.289174,0.289608,0.012889,0.273354,0.311022,0.310711,7252.2140,AVX2
2621440,0.447468,0.458782,0.024365,0.423905,0.494978,0.494626,5858.3827,AVX2
3145728,0.674288,0.677310,0.018687,0.650434,0.720462,0.718384,4665.2568,AVX2
3670016,0.925264,0.929381,0.041038,0.886601,1.029951,1.023394,3966.4531,AVX2
4194304,1.516727,1.487339,0.085644,1.279254,1.576316,1.574422,2765.3656,AVX2
