array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000010,0.000010,0.000000,0.000010,0.000011,0.000011,256953.2966,AVX-512F
1024,0.000020,0.000020,0.000000,0.000020,0.000021,0.000021,253466.6005,AVX-512F
2048,0.000041,0.000041,0.000000,0.000040,0.000041,0.000041,250417.5655,AVX-512F
4096,0.000090,0.000090,0.000001,0.000087,0.000092,0.000092,228048.3932,AVX-512F
8192,0.000364,0.000365,0.000003,0.000363,0.000375,0.000374,112539.9014,AVX-512F
12288,0.000545,0.000546,0.000001,0.000545,0.000547,0.000547,112634.2069,AVX-512F
16384,0.000730,0.000738,0.000024,0.000727,0.000809,0.000802,112253.8538,AVX-512F
20480,0.000915,0.000916,0.000002,0.000914,0.000921,0.000920,111906.0619,AVX-512F
24576,0.001097,0.001099,0.000004,0.001095,0.001110,0.001109,111969.2566,AVX-512F
28672,0.001208,0.001213,0.000014,0.001197,0.001235,0.001235,118720.8524,AVX-512F
32768,0.001292,0.001292,0.000007,0.001277,0.001303,0.001303,126784.4541,AVX-512F
40960,0.001611,0.001609,0.000007,0.001592,0.001619,0.001618,127157.0284,AVX-512F
49152,0.001926,0.001932,0.000010,0.001920,0.001946,0.001946,127580.1152,AVX-512F
57344,0.002150,0.002151,0.000004,0.002145,0.002161,0.002160,133383.8423,AVX-512F
65536,0.002423,0.002428,0.000017,0.002411,0.002475,0.002472,135230.6174,AVX-512F
81920,0.004444,0.004451,0.000019,0.004433,0.004506,0.004502,92161.7635,AVX-512F
98304,0.006332,0.006435,0.000151,0.006309,0.006742,0.006732,77624.2531,AVX-512F
114688,0.007896,0.007892,0.000042,0.007826,0.007990,0.007982,29048.4369,AVX-512F
131072,0.009420,0.009425,0.000036,0.009383,0.009512,0.009507,27829.4797,AVX-512F
163840,0.012376,0.012373,0.000011,0.012356,0.012390,0.012390,26476.4630,AVX-512F
196608,0.015459,0.015460,0.000011,0.015442,0.015479,0.015478,25435.4454,AVX-512F
229376,0.018539,0.018534,0.000096,0.018380,0.018682,0.018680,24745.5067,AVX-512F
262144,0.021567,0.021564,0.000021,0.021522,0.021602,0.021601,24309.3681,AVX-512F
327680,0.027236,0.027207,0.000225,0.026851,0.027519,0.027511,24061.9695,AVX-512F
393216,0.031476,0.031512,0.000141,0.031306,0.031826,0.031813,24984.9236,AVX-512F
458752,0.034558,0.034593,0.000138,0.034423,0.034869,0.034859,26549.6556,AVX-512F
524288,0.038977,0.038966,0.000119,0.038800,0.039171,0.039166,26902.3208,AVX-512F
655360,0.046576,0.046662,0.000266,0.046391,0.047173,0.047165,28141.6798,AVX-512F
786432,0.054501,0.054681,0.000469,0.054359,0.056013,0.055907,28859.4896,AVX-512F
917504,0.063540,0.063668,0.000326,0.063380,0.064409,0.064375,28879.4139,AVX-512F
1048576,0.072832,0.072896,0.000238,0.072615,0.073284,0.073279,28794.4395,AVX-512F
1310720,0.091392,0.091490,0.000449,0.090942,0.092391,0.092375,28683.4507,AVX-512F
1572864,0.113080,0.113592,0.001265,0.112177,0.116059,0.115959,27818.5712,AVX-512F
1835008,0.138345,0.139565,0.002167,0.137483,0.143080,0.142997,26528.0069,AVX-512F
2097152,0.172141,0.173592,0.004009,0.168779,0.181197,0.181078,12182.7224,AVX-512F
2621440,0.258024,0.261397,0.010669,0.250222,0.279416,0.279291,10159.6685,AVX-512F
3145728,0.373088,0.381795,0.016189,0.364092,0.404001,0.403865,8431.5957,AVX-512F
3670016,0.519552,0.523743,0.013928,0.507178,0.548704,0.548174,7063.8038,AVX-512F
4194304,0.695516,0.691274,0.015143,0.662740,0.707529,0.707413,6030.4894,AVX-512F
