array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000035,0.000032,0.000006,0.000019,0.000037,0.000037,73390.0664,AVX2
1024,0.000038,0.000038,0.000001,0.000037,0.000040,0.000040,135865.9653,AVX2
2048,0.000071,0.000074,0.000007,0.000066,0.000083,0.000083,143623.7513,AVX2
4096,0.000128,0.000128,0.000001,0.000126,0.000129,0.000129,160487.2262,AVX2
8192,0.000514,0.000514,0.000001,0.000513,0.000515,0.000515,79644.0288,AVX2
12288,0.000771,0.000793,0.000046,0.000770,0.000910,0.000904,79645.5559,AVX2
16384,0.001026,0.001027,0.000001,0.001025,0.001030,0.001030,79825.4053,AVX2
20480,0.001282,0.001282,0.000001,0.001281,0.001283,0.001283,79895.3936,AVX2
24576,0.001537,0.001539,0.000005,0.001536,0.001552,0.001551,79928.3145,AVX2
28672,0.001796,0.001809,0.000038,0.001793,0.001922,0.001912,79814.7382,AVX2
32768,0.002060,0.002047,0.000034,0.002005,0.002090,0.002090,79546.2797,AVX2
40960,0.002558,0.002549,0.000023,0.002513,0.002587,0.002585,80054.6749,AVX2
49152,0.003070,0.003071,0.000016,0.003047,0.003108,0.003106,80040.0435,AVX2
57344,0.003516,0.003631,0.000277,0.003514,0.004456,0.004379,81554.9392,AVX2
65536,0.004021,0.004027,0.000013,0.004017,0.004060,0.004058,81497.1055,AVX2
81920,0.005024,0.005005,0.000056,0.004845,0.005046,0.005045,81533.8266,AVX2
98304,0.005954,0.005921,0.000108,0.005739,0.006032,0.006032,82556.1350,AVX2
114688,0.007041,0.007068,0.000049,0.007033,0.007196,0.007189,32575.7311,AVX2
131072,0.008820,0.008768,0.000118,0.008431,0.008836,0.008836,29720.2808,AVX2
163840,0.014204,0.014316,0.000219,0.013995,0.014725,0.014718,23070.2697,AVX2
196608,0.021755,0.021959,0.000869,0.021269,0.024386,0.024197,18074.3313,AVX2
229376,0.029042,0.029027,0.000656,0.027534,0.029965,0.029960,15795.8874,AVX2
262144,0.037965,0.038164,0.001474,0.036469,0.041428,0.041258,13809.7822,AVX2
327680,0.049035,0.050411,0.003230,0.048297,0.059255,0.058689,13365.1289,AVX2
393216,0.060092,0.061464,0.004157,0.058583,0.073231,0.072280,13087.0831,AVX2
458752,0.070086,0.070264,0.001481,0.068375,0.073235,0.073167,13091.1093,AVX2
524288,0.081716,0.083509,0.005329,0.078573,0.096682,0.096018,12832.0091,AVX2
655360,0.100219,0.100841,0.001932,0.097705,0.104008,0.104007,13078.5146,AVX2
786432,0.119999,0.121188,0.003451,0.118052,0.130596,0.129985,13107.3462,AVX2
917504,0.139741,0.143063,0.006220,0.137062,0.154955,0.154875,13131.5309,AVX2
1048576,0.159525,0.159883,0.002014,0.156876,0.163754,0.163580,13146.1913,AVX2
1310720,0.203505,0.204441,0.004831,0.199435,0.216599,0.215772,12881.4426,AVX2
1572864,0.248970,0.250824,0.004573,0.246020,0.258513,0.258391,12634.9771,AVX2
1835008,0.321959,0.323714,0.004245,0.318467,0.332236,0.332071,11399.0269,AVX2
2097152,0.400070,0.402824,0.005267,0.397426,0.412621,0.412414,5241.9623,AVX2
2621440,0.531072,0.531566,0.004506,0.526010,0.538937,0.538723,4936.1325,AVX2
3145728,0.788088,0.787837,0.001704,0.784198,0.790536,0.790458,3991.5958,AVX2
3670016,1.028033,1.028280,0.002963,1.023090,1.034098,1.033887,3569.9405,AVX2
4194304,1.180623,1.180236,0.004475,1.173665,1.185997,1.185958,3552.6187,AVX2
