array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000032,0.000034,0.000003,0.000032,0.000040,0.000040,80523.8741,AVX2
1024,0.000065,0.000076,0.000027,0.000065,0.000157,0.000150,78308.2762,AVX2
2048,0.000128,0.000128,0.000001,0.000128,0.000130,0.000130,80023.8743,AVX2
4096,0.000457,0.000475,0.000060,0.000438,0.000647,0.000633,44814.8367,AVX2
8192,0.000917,0.000919,0.000008,0.000910,0.000937,0.000936,44678.3850,AVX2
12288,0.001411,0.001421,0.000037,0.001396,0.001528,0.001519,43533.5777,AVX2
16384,0.002031,0.002040,0.000047,0.001998,0.002172,0.002162,40331.5022,AVX2
20480,0.002653,0.002666,0.000047,0.002628,0.002801,0.002790,38596.7503,AVX2
24576,0.003804,0.003808,0.000027,0.003769,0.003871,0.003868,32306.1027,AVX2
28672,0.004984,0.005018,0.000107,0.004902,0.005272,0.005262,28761.6790,AVX2
32768,0.005827,0.005842,0.000070,0.005779,0.006038,0.006023,28115.5993,AVX2
40960,0.007822,0.007882,0.000203,0.007747,0.008481,0.008429,26182.7063,AVX2
49152,0.009690,0.009680,0.000110,0.009509,0.009844,0.009842,25362.1343,AVX2
57344,0.011458,0.011475,0.000072,0.011396,0.011638,0.011632,25024.5808,AVX2
65536,0.013735,0.013786,0.000154,0.013586,0.014035,0.014033,23857.0124,AVX2
81920,0.017002,0.016972,0.000125,0.016737,0.017172,0.017165,24090.7651,AVX2
98304,0.020352,0.020443,0.000417,0.020084,0.021594,0.021502,24150.5959,AVX2
114688,0.023820,0.023833,0.000171,0.023466,0.024118,0.024114,9629.4493,AVX2
131072,0.027447,0.027547,0.000275,0.027231,0.028091,0.028080,9551.0393,AVX2
163840,0.034071,0.034183,0.000579,0.033482,0.035291,0.035280,9617.5114,AVX2
196608,0.040804,0.040764,0.000276,0.039979,0.041055,0.041047,9636.7645,AVX2
229376,0.047323,0.047384,0.000303,0.046756,0.047835,0.047828,9693.9896,AVX2
262144,0.054276,0.054304,0.000203,0.053977,0.054689,0.054672,9659.6607,AVX2
327680,0.068547,0.068582,0.000917,0.067533,0.070551,0.070452,9560.7510,AVX2
393216,0.085923,0.087493,0.005222,0.081320,0.095776,0.095612,9152.7517,AVX2
458752,0.111963,0.112280,0.002076,0.110144,0.117840,0.117423,8194.6750,AVX2
524288,0.137288,0.137406,0.005001,0.130986,0.147815,0.147460,7637.7991,AVX2
655360,0.211568,0.214046,0.016812,0.194057,0.248047,0.246794,6195.2691,AVX2
786432,0.387312,0.407466,0.080322,0.305397,0.568232,0.561428,4060.9763,AVX2
917504,0.653964,0.760570,0.382042,0.386993,1.822091,1.736973,2805.9774,AVX2
1048576,0.566471,0.685516,0.169080,0.526256,0.942075,0.938575,3702.1363,AVX2
1310720,0.734604,0.755397,0.054601,0.679017,0.856611,0.854624,3568.5057,AVX2
1572864,1.052982,1.050110,0.051345,0.928565,1.129445,1.125532,2987.4468,AVX2
1835008,1.118448,1.131731,0.057490,1.042972,1.214770,1.214334,3281.3483,AVX2
2097152,1.320020,1.341505,0.069589,1.263810,1.473666,1.471446,1588.7276,AVX2
2621440,1.805251,1.744688,0.113903,1.575323,1.888116,1.884044,1452.1198,AVX2
3145728,2.227649,2.205090,0.117680,1.998997,2.395424,2.386636,1412.1291,AVX2
3670016,2.742679,2.669854,0.160937,2.402343,2.860157,2.856309,1338.1137,AVX2
4194304,3.186435,3.170225,0.110562,2.863648,3.264415,3.263836,1316.2999,AVX2
