array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000050,0.000051,0.000003,0.000047,0.000057,0.000057,51201.7409,AVX2
1024,0.000104,0.000108,0.000011,0.000095,0.000129,0.000128,49018.4346,AVX2
2048,0.000197,0.000196,0.000006,0.000186,0.000204,0.000204,51920.3955,AVX2
4096,0.000888,0.000901,0.000035,0.000870,0.000995,0.000988,23054.0777,AVX2
8192,0.001806,0.001815,0.000063,0.001757,0.001975,0.001966,22675.7144,AVX2
12288,0.002753,0.002762,0.000077,0.002647,0.002918,0.002913,22319.2190,AVX2
16384,0.003502,0.003510,0.000033,0.003469,0.003575,0.003572,23390.6841,AVX2
20480,0.004570,0.004636,0.000196,0.004470,0.005031,0.005027,22406.9056,AVX2
24576,0.007218,0.007303,0.000182,0.007165,0.007781,0.007750,17024.5715,AVX2
28672,0.010803,0.010855,0.000174,0.010648,0.011243,0.011225,13269.8060,AVX2
32768,0.013135,0.013226,0.000167,0.013073,0.013580,0.013566,12473.7755,AVX2
40960,0.016854,0.016844,0.000066,0.016708,0.016920,0.016920,12151.2461,AVX2
49152,0.020286,0.020304,0.000261,0.020042,0.021031,0.020967,12114.8065,AVX2
57344,0.023559,0.023639,0.000245,0.023445,0.024315,0.024264,12170.2912,AVX2
65536,0.027273,0.027314,0.000312,0.026811,0.027958,0.027930,12015.0155,AVX2
81920,0.033824,0.033977,0.000328,0.033695,0.034556,0.034546,12109.6373,AVX2
98304,0.040625,0.040769,0.000618,0.040246,0.042509,0.042374,12098.8141,AVX2
114688,0.047813,0.047908,0.000550,0.047082,0.049070,0.049027,4797.4042,AVX2
131072,0.054529,0.054618,0.000619,0.053703,0.055544,0.055523,4807.4476,AVX2
163840,0.067617,0.068097,0.000762,0.067391,0.069364,0.069364,4846.1332,AVX2
196608,0.081493,0.081834,0.000813,0.080970,0.083332,0.083328,4825.1694,AVX2
229376,0.094889,0.095094,0.000991,0.093922,0.097647,0.097457,4834.6057,AVX2
262144,0.112648,0.112994,0.001356,0.111137,0.115972,0.115826,4654.2347,AVX2
327680,0.142835,0.143498,0.002358,0.140983,0.149626,0.149248,4588.2227,AVX2
393216,0.172964,0.172934,0.001224,0.171007,0.175615,0.175454,4546.8054,AVX2
458752,0.202851,0.202850,0.001508,0.200440,0.205035,0.205014,4523.0428,AVX2
524288,0.232576,0.232850,0.002462,0.229294,0.238328,0.238113,4508.5392,AVX2
655360,0.288707,0.288015,0.002614,0.282954,0.291689,0.291547,4539.9666,AVX2
786432,0.337039,0.336487,0.008317,0.324849,0.352023,0.351304,4666.7073,AVX2
917504,0.399944,0.400115,0.009178,0.384321,0.418240,0.417357,4588.1653,AVX2
1048576,0.472917,0.472252,0.004700,0.461735,0.478894,0.478753,4434.5030,AVX2
1310720,0.683885,0.684936,0.037608,0.618869,0.766655,0.762307,3833.1586,AVX2
1572864,0.878533,0.874943,0.026912,0.818999,0.929922,0.926161,3580.6603,AVX2
1835008,1.370118,1.355528,0.063407,1.197662,1.435065,1.432728,2678.6140,AVX2
2097152,1.840421,1.839608,0.038347,1.775421,1.902241,1.901118,1139.4959,AVX2
2621440,2.609608,2.666435,0.104403,2.536720,2.845649,2.842669,1004.5338,AVX2
3145728,3.122934,3.132051,0.030959,3.074778,3.181097,3.180489,1007.2989,AVX2
3670016,3.673901,3.711736,0.119424,3.639974,4.067534,4.034348,998.9424,AVX2
4194304,4.657844,4.704165,0.168392,4.546888,5.111971,5.090039,900.4819,AVX2
