array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000212,0.000213,0.000003,0.000210,0.000220,0.000220,12057.2913,AVX
1024,0.000437,0.000440,0.000011,0.000431,0.000472,0.000470,11711.9222,AVX
2048,0.000871,0.000873,0.000007,0.000866,0.000888,0.000887,11760.9833,AVX
4096,0.003352,0.003371,0.000034,0.003334,0.003442,0.003440,6109.3288,AVX
8192,0.002772,0.004181,0.001979,0.002439,0.007154,0.007122,14773.8747,AVX
12288,0.003654,0.003834,0.000385,0.003507,0.004618,0.004611,16813.6313,AVX
16384,0.004742,0.004743,0.000114,0.004591,0.004961,0.004953,17276.4167,AVX
20480,0.006186,0.006242,0.000242,0.005991,0.006895,0.006845,16553.0557,AVX
24576,0.007659,0.007734,0.000162,0.007556,0.008053,0.008045,16043.9455,AVX
28672,0.009837,0.009947,0.000266,0.009610,0.010457,0.010456,14573.6953,AVX
32768,0.011751,0.011834,0.000197,0.011596,0.012151,0.012148,13943.0409,AVX
40960,0.014840,0.014978,0.000339,0.014624,0.015689,0.015657,13800.6655,AVX
49152,0.018097,0.018177,0.000223,0.017852,0.018497,0.018494,13580.4962,AVX
57344,0.022202,0.022265,0.000523,0.021302,0.023043,0.023019,12913.9369,AVX
65536,0.024729,0.024888,0.000530,0.024449,0.026401,0.026274,13251.0468,AVX
81920,0.031761,0.031715,0.000829,0.030476,0.032948,0.032938,12896.4221,AVX
98304,0.037630,0.037614,0.000316,0.036987,0.038018,0.038015,13061.9489,AVX
114688,0.043558,0.044149,0.001481,0.042845,0.047457,0.047338,5266.0225,AVX
131072,0.049645,0.049863,0.001070,0.048532,0.052120,0.052011,5280.3326,AVX
163840,0.061851,0.061888,0.000792,0.060628,0.063304,0.063245,5297.9301,AVX
196608,0.076741,0.076868,0.001114,0.075355,0.078709,0.078707,5123.9380,AVX
229376,0.092218,0.092914,0.002429,0.089604,0.098461,0.098181,4974.6486,AVX
262144,0.105738,0.106319,0.002144,0.103740,0.111573,0.111300,4958.3566,AVX
327680,0.133360,0.133653,0.002183,0.129571,0.138089,0.137910,4914.2313,AVX
393216,0.157982,0.158604,0.002298,0.156850,0.165123,0.164613,4977.9694,AVX
458752,0.184857,0.186362,0.004904,0.181999,0.195974,0.195959,4963.3239,AVX
524288,0.215272,0.215817,0.003447,0.210876,0.223358,0.222985,4870.9346,AVX
655360,0.267150,0.268172,0.004977,0.263476,0.282041,0.280961,4906.3113,AVX
786432,0.319917,0.320706,0.006681,0.311451,0.337622,0.336552,4916.4724,AVX
917504,0.382497,0.382391,0.004178,0.376641,0.390004,0.389745,4797.4476,AVX
1048576,0.451847,0.453209,0.005852,0.443374,0.463519,0.463115,4641.2835,AVX
1310720,0.657242,0.657080,0.015689,0.633240,0.681918,0.681144,3988.5467,AVX
1572864,0.948354,0.953233,0.031546,0.918250,1.014883,1.013579,3317.0390,AVX
1835008,1.272438,1.269745,0.016175,1.234073,1.291160,1.291055,2884.2385,AVX
2097152,1.638647,1.640286,0.023229,1.609847,1.676033,1.674905,1279.8068,AVX
2621440,2.236096,2.238623,0.021035,2.214023,2.283717,2.282235,1172.3291,AVX
3145728,2.757639,2.768582,0.029988,2.749512,2.856178,2.848823,1140.7325,AVX
3670016,3.460616,3.475345,0.117766,3.275924,3.672027,3.667054,1060.5095,AVX
4194304,3.685366,3.709767,0.084312,3.650270,3.954290,3.933403,1138.0971,AVX
