array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000049,0.000049,0.000003,0.000045,0.000054,0.000054,52532.9565,AVX2
1024,0.000100,0.000099,0.000002,0.000095,0.000103,0.000103,51431.4408,AVX2
2048,0.000191,0.000192,0.000003,0.000185,0.000198,0.000198,53519.8677,AVX2
4096,0.000499,0.000498,0.000008,0.000483,0.000512,0.000512,41056.6640,AVX2
8192,0.000995,0.000987,0.000053,0.000906,0.001099,0.001092,41148.3690,AVX2
12288,0.001383,0.001385,0.000021,0.001356,0.001415,0.001415,44431.7488,AVX2
16384,0.002030,0.002049,0.000102,0.001870,0.002274,0.002262,40353.1511,AVX2
20480,0.002582,0.002585,0.000045,0.002529,0.002673,0.002671,39662.2514,AVX2
24576,0.003546,0.003564,0.000093,0.003468,0.003812,0.003793,34657.3625,AVX2
28672,0.004544,0.004598,0.000176,0.004424,0.005069,0.005035,31548.7959,AVX2
32768,0.005737,0.005704,0.000116,0.005500,0.005924,0.005912,28559.3044,AVX2
40960,0.007577,0.007496,0.000215,0.007103,0.007751,0.007746,27028.5971,AVX2
49152,0.008819,0.008939,0.000239,0.008718,0.009432,0.009421,27865.6257,AVX2
57344,0.010631,0.010866,0.000471,0.010455,0.011899,0.011844,26970.5468,AVX2
65536,0.012656,0.012671,0.000457,0.012039,0.013741,0.013682,25891.8857,AVX2
81920,0.016870,0.017024,0.001544,0.015240,0.019051,0.019046,24279.5306,AVX2
98304,0.018447,0.018749,0.000808,0.017937,0.020575,0.020516,26644.5804,AVX2
114688,0.021087,0.021119,0.000188,0.020913,0.021485,0.021470,10877.5834,AVX2
131072,0.024213,0.024261,0.000246,0.023921,0.024662,0.024652,10826.7754,AVX2
163840,0.030659,0.030811,0.000682,0.030082,0.032491,0.032384,10687.9064,AVX2
196608,0.036738,0.036914,0.000773,0.035733,0.038506,0.038423,10703.1056,AVX2
229376,0.044029,0.044399,0.001546,0.042652,0.048489,0.048195,10419.3954,AVX2
262144,0.051760,0.052555,0.003754,0.048699,0.061499,0.061091,10129.1929,AVX2
327680,0.082815,0.085845,0.013703,0.071501,0.118915,0.117038,7913.5736,AVX2
393216,0.092129,0.104052,0.027106,0.084525,0.169430,0.166801,8536.1852,AVX2
458752,0.143172,0.158532,0.041649,0.119436,0.248308,0.246167,6408.4086,AVX2
524288,0.246776,0.274083,0.068024,0.202275,0.360141,0.360059,4249.0920,AVX2
655360,0.383014,0.394340,0.058906,0.325205,0.520981,0.513940,3422.1195,AVX2
786432,0.476903,0.474002,0.032022,0.403047,0.514425,0.513754,3298.0794,AVX2
917504,0.632136,0.628010,0.101389,0.491033,0.863313,0.848712,2902.8696,AVX2
1048576,0.713380,0.714908,0.092907,0.597095,0.921679,0.908978,2939.7385,AVX2
1310720,0.949857,0.949707,0.061881,0.880108,1.028876,1.027553,2759.8268,AVX2
1572864,1.157600,1.188415,0.147580,1.044087,1.586327,1.555685,2717.4571,AVX2
1835008,1.370281,1.394706,0.099364,1.279917,1.563523,1.563403,2678.2945,AVX2
2097152,1.545448,1.583718,0.156601,1.408624,1.990942,1.960518,1356.9868,AVX2
2621440,1.978081,1.969322,0.128183,1.758068,2.206839,2.193910,1325.2441,AVX2
3145728,2.395789,2.423483,0.141628,2.254485,2.784307,2.757451,1313.0240,AVX2
3670016,2.991055,3.192424,0.472598,2.665289,4.074767,4.046615,1226.9974,AVX2
4194304,4.054501,4.007821,0.205175,3.497634,4.224277,4.221919,1034.4809,AVX2
