array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000013,0.000016,0.000003,0.000013,0.000022,0.000022,190360.3092,AVX-512F
1024,0.000024,0.000025,0.000001,0.000024,0.000027,0.000027,212233.4810,AVX-512F
2048,0.000046,0.000046,0.000001,0.000045,0.000049,0.000049,224404.8976,AVX-512F
4096,0.000165,0.000164,0.000001,0.000161,0.000165,0.000165,124235.9699,AVX-512F
8192,0.000944,0.000945,0.000003,0.000942,0.000951,0.000951,43376.0406,AVX-512F
12288,0.001412,0.001412,0.000002,0.001410,0.001416,0.001416,43508.6156,AVX-512F
16384,0.001882,0.001882,0.000002,0.001880,0.001889,0.001888,43528.2727,AVX-512F
20480,0.002352,0.002352,0.000002,0.002349,0.002354,0.002354,43544.0225,AVX-512F
24576,0.002822,0.002821,0.000002,0.002818,0.002825,0.002825,43545.9398,AVX-512F
28672,0.003304,0.003305,0.000005,0.003299,0.003318,0.003317,43389.0439,AVX-512F
32768,0.003752,0.003753,0.000002,0.003750,0.003757,0.003756,43661.9254,AVX-512F
40960,0.004687,0.004687,0.000006,0.004674,0.004698,0.004697,43699.4338,AVX-512F
49152,0.005625,0.005681,0.000173,0.005618,0.006201,0.006149,43691.3440,AVX-512F
57344,0.006557,0.006558,0.000004,0.006552,0.006565,0.006565,43728.3234,AVX-512F
65536,0.007481,0.007485,0.000013,0.007466,0.007515,0.007513,43803.1115,AVX-512F
81920,0.009342,0.009341,0.000026,0.009273,0.009376,0.009375,43842.8231,AVX-512F
98304,0.011272,0.011273,0.000052,0.011212,0.011401,0.011391,43603.8323,AVX-512F
114688,0.014239,0.014240,0.000008,0.014230,0.014257,0.014256,16108.7821,AVX-512F
131072,0.020731,0.020779,0.000165,0.020666,0.021268,0.021221,12645.0583,AVX-512F
163840,0.032772,0.032818,0.000333,0.032346,0.033317,0.033316,9998.7948,AVX-512F
196608,0.051010,0.051367,0.000976,0.050108,0.053296,0.053228,7708.6589,AVX-512F
229376,0.069977,0.070081,0.000451,0.069277,0.070863,0.070849,6555.7913,AVX-512F
262144,0.090811,0.090784,0.000754,0.089923,0.092651,0.092510,5773.4184,AVX-512F
327680,0.119711,0.119798,0.001280,0.118275,0.123068,0.122825,5474.5286,AVX-512F
393216,0.146549,0.141517,0.009029,0.129743,0.151052,0.150988,5366.3378,AVX-512F
458752,0.176411,0.176520,0.000435,0.175979,0.177491,0.177448,5200.9591,AVX-512F
524288,0.201960,0.202019,0.000393,0.201452,0.202899,0.202850,5191.9869,AVX-512F
655360,0.250883,0.250656,0.003460,0.246111,0.255990,0.255935,5224.4359,AVX-512F
786432,0.297444,0.297830,0.002517,0.294248,0.304558,0.304051,5287.9353,AVX-512F
917504,0.346843,0.347066,0.001860,0.345301,0.352046,0.351649,5290.5994,AVX-512F
1048576,0.399854,0.399359,0.003382,0.394518,0.404880,0.404690,5244.7986,AVX-512F
1310720,0.498376,0.499739,0.004068,0.493382,0.508314,0.507814,5259.9669,AVX-512F
1572864,0.598827,0.599630,0.003846,0.593779,0.607953,0.607456,5253.1464,AVX-512F
1835008,0.720021,0.720977,0.003107,0.716214,0.726467,0.726332,5097.0987,AVX-512F
2097152,0.841661,0.841255,0.007223,0.830821,0.853809,0.853322,2491.6821,AVX-512F
2621440,1.152547,1.141630,0.019961,1.107952,1.165325,1.164910,2274.4747,AVX-512F
3145728,1.524061,1.514057,0.028465,1.471803,1.548345,1.548205,2064.0433,AVX-512F
3670016,1.950169,2.035667,0.191059,1.850759,2.530437,2.494920,1881.8965,AVX-512F
4194304,2.120262,2.134155,0.030020,2.105987,2.193319,2.193010,1978.2007,AVX-512F
